Feature Pair,F-Statistic,P-Value,,,
length,vs,POS,numNouns,1.2304383985188614,0.2688181966451335
length,vs,POS,numProperNouns,0.112243554149357,0.7379986836495007
length,vs,POS,numPronouns,0.1953320457926188,0.6590518507396171
length,vs,POS,numConjunct,0.5517476849442812,0.4585836333565333
length,vs,POS,numAdjectives,1.7125742625177112,0.19233883545668523
length,vs,POS,numVerbs,0.5000753906551714,0.48039176727045585
length,vs,POS,numAdverbs,1.667837025025669,0.19822299794238193
length,vs,POS,numModals,,
length,vs,POS,numPrepositions,0.004589706793267619,0.9460627752806422
length,vs,POS,numInterjections,13.21378672803322,0.0003635532892397351
length,vs,POS,numPerPronouns,0.1953320457926188,0.6590518507396171
length,vs,POS,numWhPronouns,,
length,vs,POS,numLexicals,0.39569270980223775,0.5301285919431008
length,vs,POS,numFunctionWords,0.7101891849712726,0.400511952528096
length,vs,POS,numDeterminers,3.209666095707153,0.07490325358681538
length,vs,POS,numVerbsVB,1.545019903998595,0.21550695402128958
length,vs,POS,numVerbsVBG,,
length,vs,POS,numVerbsVBN,12.978381594765652,0.0004086726711565537
length,vs,POS,numVerbsVBP,,
length,vs,POS,numVerbsVBZ,,
length,vs,POS,advVar,1.6902334943190127,0.19525113064798433
length,vs,POS,adjVar,1.5938454535888045,0.20842907665197533
length,vs,POS,modVar,3.1827080821150067,0.07612485059483001
length,vs,POS,nounVar,1.4926867423721633,0.22341562194361783
length,vs,POS,verbVar1,0.7601137795636904,0.38446736104135526
length,vs,POS,verbVar2,0.569527876164318,0.45144388212163133
length,vs,POS,squaredVerbVar1,0.18598100102447856,0.6668046901731315
length,vs,POS,correctedVV1,0.05183327925435253,0.8201646920111346
length,vs,localNounOverlapCount,,,
length,vs,localArgumentOverlapCount,1.4599795198561192,0.22853617115257535,
length,vs,localStemOverlapCount,0.6487217694048774,0.4216446617023041,
length,vs,localContentWordOverlap,0.5996163916556856,0.43975174839389186,
length,vs,globalNounOverlapCount,,,
length,vs,globalArgumentOverlapCount,4.795847066791458,0.029828789700685532,
length,vs,globalStemOverlapCount,4.177580003550896,0.042435471375629384,
length,vs,globalContentWordOverlap,0.5289596376584796,0.46800007140503974,
length,vs,TTR,0.5782048005493282,0.4480228812603525,
length,vs,CorrectedTTR,2.282986849662117,0.13257298296859546,
length,vs,RootTTR,2.282986849662161,0.13257298296859155,
length,vs,BilogTTR,3.4034774617789734,0.06672079537565466,
length,vs,MTLD,0.09938264728007991,0.7529410196551948,
length,vs,conjunctToSent,0.04944178894399591,0.8242923887753211,
length,vs,conjunctTypesToSent,1.8951906586475453,0.17034673799552752,
length,vs,conjunctToWords,1.7608750959472346,0.18621509257383978,
length,vs,conjunctNum,0.7646468782702127,0.38305649127765784,
length,vs,conjunctTypesToTotal,1.2991153005621836,0.25590630314379254,
length,vs,conjunctNeighborSent,10.44197063569135,0.0014676132766020227,
length,vs,Segment,,,
length,vs,WC,,,
length,vs,WPS,,,
length,vs,BigWords,,,
length,vs,emopos,,,
length,vs,emoneg,,,
length,vs,anxiete,,,
length,vs,colère,,,
length,vs,tristesse,,,
length,vs,cognition,,,
length,vs,perspicacite,,,
length,vs,cause,,,
length,vs,divergence,,,
length,vs,tentative,,,
length,vs,certitude,,,
length,vs,inhibition,,,
length,vs,inclusion,,,
length,vs,exclusion,,,
length,vs,perception,,,
length,vs,remplisseur,,,
length,vs,Unnamed: 5,,,
length,vs,Unnamed: 6,,,
length,vs,Unnamed: 7,,,
length,vs,Unnamed: 8,,,
length,vs,Unnamed: 9,,,
length,vs,Unnamed: 10,,,
length,vs,Unnamed: 11,,,
length,vs,Unnamed: 12,,,
length,vs,Unnamed: 13,,,
length,vs,Unnamed: 14,,,
length,vs,Unnamed: 15,,,
length,vs,Unnamed: 16,,,
length,vs,Unnamed: 17,,,
length,vs,Unnamed: 18,,,
length,vs,Unnamed: 19,,,
length,vs,Unnamed: 20,,,
length,vs,Unnamed: 21,,,
length,vs,Unnamed: 38,,,
length,vs,Unnamed: 39,,,
length,vs,Unnamed: 40,,,
length,vs,Unnamed: 41,,,
length,vs,Unnamed: 42,,,
length,vs,DISC,RefExprPronounsPerNoun,0.19613307292376286,0.6583981214082752
length,vs,DISC,RefExprPronounsPerSen,0.0005272369898162713,0.9817065903086607
length,vs,DISC,RefExprPronounsPerWord,0.5653065615722167,0.453123032008636
length,vs,DISC,RefExprPerPronounsPerSen,0.0005272369898162713,0.9817065903086607
length,vs,DISC,RefExprPerProPerWord,0.5653065615722167,0.453123032008636
length,vs,DISC,RefExprPossProPerSen,,
length,vs,DISC,RefExprPossProPerWord,,
length,vs,DISC,RefExprDefArtPerSen,,
length,vs,DISC,RefExprDefArtPerWord,,
length,vs,DISC,RefExprProperNounsPerNoun,0.06327030570026185,0.8016899786250353
redundancy,vs,POS,numNouns,0.9137482223886078,0.3408432045994457
redundancy,vs,POS,numProperNouns,1.6465995755487717,0.20163722286012553
redundancy,vs,POS,numPronouns,2.958913067857008,0.08771387232998523
redundancy,vs,POS,numConjunct,0.14586050465334002,0.7031280007805811
redundancy,vs,POS,numAdjectives,0.26047540994922397,0.6106334257258824
redundancy,vs,POS,numVerbs,0.2268349609714536,0.6346563028271617
redundancy,vs,POS,numAdverbs,0.5404720257790545,0.46352190401062165
redundancy,vs,POS,numModals,,
redundancy,vs,POS,numPrepositions,3.3210917687363386,0.07062600975490958
redundancy,vs,POS,numInterjections,10.913372049648821,0.0012245779696352457
redundancy,vs,POS,numPerPronouns,2.958913067857008,0.08771387232998523
redundancy,vs,POS,numWhPronouns,,
redundancy,vs,POS,numLexicals,0.4866782689638469,0.48662150152750194
redundancy,vs,POS,numFunctionWords,4.510713835285959e-05,0.9946512885829211
redundancy,vs,POS,numDeterminers,0.3185204829870879,0.573441611114242
redundancy,vs,POS,numVerbsVB,1.3870277630028418,0.24099511897439135
redundancy,vs,POS,numVerbsVBG,,
redundancy,vs,POS,numVerbsVBN,1.7858901732271468,0.18369251422949676
redundancy,vs,POS,numVerbsVBP,,
redundancy,vs,POS,numVerbsVBZ,,
redundancy,vs,POS,advVar,0.38852840717002013,0.5341334571615528
redundancy,vs,POS,adjVar,0.14179476152568116,0.7070988426181559
redundancy,vs,POS,modVar,0.5272578505860579,0.4690284070867612
redundancy,vs,POS,nounVar,1.1954622238298365,0.27619218484861335
redundancy,vs,POS,verbVar1,8.276814446664694,0.0046738721073826435
redundancy,vs,POS,verbVar2,0.19838613808554226,0.656745406483399
redundancy,vs,POS,squaredVerbVar1,2.644185772004956,0.1062788943209087
redundancy,vs,POS,correctedVV1,2.45737386102155,0.11933267027102488
redundancy,vs,localNounOverlapCount,,,
redundancy,vs,localArgumentOverlapCount,0.2981096860452776,0.5859777619093517,
redundancy,vs,localStemOverlapCount,0.6318571872967139,0.42808056184161214,
redundancy,vs,localContentWordOverlap,0.23580712504952647,0.6280440193115453,
redundancy,vs,globalNounOverlapCount,,,
redundancy,vs,globalArgumentOverlapCount,4.138227327708975,0.04389818383861676,
redundancy,vs,globalStemOverlapCount,1.609669579667521,0.20673778245070062,
redundancy,vs,globalContentWordOverlap,0.08787215996339827,0.7673588398269346,
redundancy,vs,TTR,0.3339802141336151,0.5642946209541555,
redundancy,vs,CorrectedTTR,2.6495878769742474,0.10592580322886504,
redundancy,vs,RootTTR,2.6495878769742833,0.10592580322886083,
redundancy,vs,BilogTTR,3.639102970804999,0.05857700740610904,
redundancy,vs,MTLD,4.247182619708445,0.04124958830711187,
redundancy,vs,conjunctToSent,3.149334625777722,0.07822861001864809,
redundancy,vs,conjunctTypesToSent,3.9773991791927985,0.048144029168502585,
redundancy,vs,conjunctToWords,0.04738564751707583,0.8280076667610243,
redundancy,vs,conjunctNum,0.06603126206060886,0.7975995566406044,
redundancy,vs,conjunctTypesToTotal,0.13598958773725836,0.7128829033866408,
redundancy,vs,conjunctNeighborSent,0.8997463163093782,0.3445572827356108,
redundancy,vs,Segment,,,
redundancy,vs,WC,,,
redundancy,vs,WPS,,,
redundancy,vs,BigWords,,,
redundancy,vs,emopos,,,
redundancy,vs,emoneg,,,
redundancy,vs,anxiete,,,
redundancy,vs,colère,,,
redundancy,vs,tristesse,,,
redundancy,vs,cognition,,,
redundancy,vs,perspicacite,,,
redundancy,vs,cause,,,
redundancy,vs,divergence,,,
redundancy,vs,tentative,,,
redundancy,vs,certitude,,,
redundancy,vs,inhibition,,,
redundancy,vs,inclusion,,,
redundancy,vs,exclusion,,,
redundancy,vs,perception,,,
redundancy,vs,remplisseur,,,
redundancy,vs,Unnamed: 5,,,
redundancy,vs,Unnamed: 6,,,
redundancy,vs,Unnamed: 7,,,
redundancy,vs,Unnamed: 8,,,
redundancy,vs,Unnamed: 9,,,
redundancy,vs,Unnamed: 10,,,
redundancy,vs,Unnamed: 11,,,
redundancy,vs,Unnamed: 12,,,
redundancy,vs,Unnamed: 13,,,
redundancy,vs,Unnamed: 14,,,
redundancy,vs,Unnamed: 15,,,
redundancy,vs,Unnamed: 16,,,
redundancy,vs,Unnamed: 17,,,
redundancy,vs,Unnamed: 18,,,
redundancy,vs,Unnamed: 19,,,
redundancy,vs,Unnamed: 20,,,
redundancy,vs,Unnamed: 21,,,
redundancy,vs,Unnamed: 38,,,
redundancy,vs,Unnamed: 39,,,
redundancy,vs,Unnamed: 40,,,
redundancy,vs,Unnamed: 41,,,
redundancy,vs,Unnamed: 42,,,
redundancy,vs,DISC,RefExprPronounsPerNoun,2.8915947966291458,0.09136247144641327
redundancy,vs,DISC,RefExprPronounsPerSen,0.011817372293232138,0.9135969187779851
redundancy,vs,DISC,RefExprPronounsPerWord,3.0097862955796337,0.08506249165311577
redundancy,vs,DISC,RefExprPerPronounsPerSen,0.011817372293232138,0.9135969187779851
redundancy,vs,DISC,RefExprPerProPerWord,3.0097862955796337,0.08506249165311577
redundancy,vs,DISC,RefExprPossProPerSen,,
redundancy,vs,DISC,RefExprPossProPerWord,,
redundancy,vs,DISC,RefExprDefArtPerSen,,
redundancy,vs,DISC,RefExprDefArtPerWord,,
redundancy,vs,DISC,RefExprProperNounsPerNoun,0.8251393205025659,0.36531262251824614
topic,vs,POS,numNouns,0.3597597834413972,0.6983530285485121
topic,vs,POS,numProperNouns,5.534444073848948,0.004662119215943021
topic,vs,POS,numPronouns,1.2225226984898065,0.29696059932660396
topic,vs,POS,numConjunct,1.5626454743144287,0.2124582193304899
topic,vs,POS,numAdjectives,0.4492850360710244,0.638809848290347
topic,vs,POS,numVerbs,2.734925643477883,0.0676425733332697
topic,vs,POS,numAdverbs,9.454893198665777,0.0001255065727119722
topic,vs,POS,numModals,,
topic,vs,POS,numPrepositions,1.3659977283667164,0.257802142761476
topic,vs,POS,numInterjections,0.2438172506580691,0.783893579463608
topic,vs,POS,numPerPronouns,1.2225226984898065,0.29696059932660396
topic,vs,POS,numWhPronouns,,
topic,vs,POS,numLexicals,3.242639359012281,0.041392873698884794
topic,vs,POS,numFunctionWords,2.471135846278054,0.08739957682278993
topic,vs,POS,numDeterminers,8.052973510059045,0.0004494890883514897
topic,vs,POS,numVerbsVB,5.945464171112203,0.0031692144778202452
topic,vs,POS,numVerbsVBG,,
topic,vs,POS,numVerbsVBN,10.456309690403314,5.1018830181860144e-05
topic,vs,POS,numVerbsVBP,,
topic,vs,POS,numVerbsVBZ,,
topic,vs,POS,advVar,9.18596602635746,0.00016007809687100579
topic,vs,POS,adjVar,0.6788729374072523,0.5085038968325091
topic,vs,POS,modVar,3.7603398454904933,0.025156344296400734
topic,vs,POS,nounVar,0.16481485699566567,0.8481806979400148
topic,vs,POS,verbVar1,0.17489958242119874,0.8396862358350073
topic,vs,POS,verbVar2,4.627044813686717,0.010996873514437728
topic,vs,POS,squaredVerbVar1,1.635400854052894,0.1978048995549111
topic,vs,POS,correctedVV1,2.0227071473986973,0.1353436091908101
topic,vs,localNounOverlapCount,,,
topic,vs,localArgumentOverlapCount,2.0960091446007194,0.12598737649322866,
topic,vs,localStemOverlapCount,1.2629245420260355,0.2853615843624443,
topic,vs,localContentWordOverlap,0.12922880316833626,0.8788557126858457,
topic,vs,globalNounOverlapCount,,,
topic,vs,globalArgumentOverlapCount,0.37906829318977775,0.6850531994053464,
topic,vs,globalStemOverlapCount,0.5002546591954289,0.6072309416793006,
topic,vs,globalContentWordOverlap,3.3151300915746282,0.03859828304425643,
topic,vs,TTR,2.0264213048094657,0.13485305539061723,
topic,vs,CorrectedTTR,1.0398931638478863,0.35564183878626854,
topic,vs,RootTTR,1.039893163847828,0.3556418387862967,
topic,vs,BilogTTR,0.7847291549264312,0.4578239808512713,
topic,vs,MTLD,11.433522998451087,2.1381512808565865e-05,
topic,vs,conjunctToSent,0.4316932141754882,0.650090464455821,
topic,vs,conjunctTypesToSent,1.390580112341565,0.25163685343445014,
topic,vs,conjunctToWords,0.9007087880776464,0.4081354519912005,
topic,vs,conjunctNum,0.24185894703460944,0.7854259762668124,
topic,vs,conjunctTypesToTotal,2.196522189506503,0.11421110629495983,
topic,vs,conjunctNeighborSent,1.3911645796727066,0.2514920972200489,
topic,vs,Segment,,,
topic,vs,WC,,,
topic,vs,WPS,,,
topic,vs,BigWords,,,
topic,vs,emopos,,,
topic,vs,emoneg,,,
topic,vs,anxiete,,,
topic,vs,colère,,,
topic,vs,tristesse,,,
topic,vs,cognition,,,
topic,vs,perspicacite,,,
topic,vs,cause,,,
topic,vs,divergence,,,
topic,vs,tentative,,,
topic,vs,certitude,,,
topic,vs,inhibition,,,
topic,vs,inclusion,,,
topic,vs,exclusion,,,
topic,vs,perception,,,
topic,vs,remplisseur,,,
topic,vs,Unnamed: 5,,,
topic,vs,Unnamed: 6,,,
topic,vs,Unnamed: 7,,,
topic,vs,Unnamed: 8,,,
topic,vs,Unnamed: 9,,,
topic,vs,Unnamed: 10,,,
topic,vs,Unnamed: 11,,,
topic,vs,Unnamed: 12,,,
topic,vs,Unnamed: 13,,,
topic,vs,Unnamed: 14,,,
topic,vs,Unnamed: 15,,,
topic,vs,Unnamed: 16,,,
topic,vs,Unnamed: 17,,,
topic,vs,Unnamed: 18,,,
topic,vs,Unnamed: 19,,,
topic,vs,Unnamed: 20,,,
topic,vs,Unnamed: 21,,,
topic,vs,Unnamed: 38,,,
topic,vs,Unnamed: 39,,,
topic,vs,Unnamed: 40,,,
topic,vs,Unnamed: 41,,,
topic,vs,Unnamed: 42,,,
topic,vs,DISC,RefExprPronounsPerNoun,0.329563964645926,0.7196776652419146
topic,vs,DISC,RefExprPronounsPerSen,4.273124746570037,0.015403383278778465
topic,vs,DISC,RefExprPronounsPerWord,1.8454774381346726,0.16097614614580188
topic,vs,DISC,RefExprPerPronounsPerSen,4.273124746570037,0.015403383278778465
topic,vs,DISC,RefExprPerProPerWord,1.8454774381346726,0.16097614614580188
topic,vs,DISC,RefExprPossProPerSen,,
topic,vs,DISC,RefExprPossProPerWord,,
topic,vs,DISC,RefExprDefArtPerSen,,
topic,vs,DISC,RefExprDefArtPerWord,,
topic,vs,DISC,RefExprProperNounsPerNoun,6.355998503917506,0.0021589602979253967
structure,vs,POS,numNouns,1.019763529760032,0.36278930692791816
structure,vs,POS,numProperNouns,3.3248126426773763,0.03823974193190149
structure,vs,POS,numPronouns,3.4528401824180266,0.03380367041701017
structure,vs,POS,numConjunct,2.1902571509254276,0.11491147694073911
structure,vs,POS,numAdjectives,3.4699347567625876,0.033252110770963926
structure,vs,POS,numVerbs,2.634315732894956,0.07458096934764995
structure,vs,POS,numAdverbs,13.378370674585522,3.8834997021426125e-06
structure,vs,POS,numModals,,
structure,vs,POS,numPrepositions,3.482102307381906,0.0328650748892339
structure,vs,POS,numInterjections,12.41664360960212,8.990251585540695e-06
structure,vs,POS,numPerPronouns,3.4528401824180266,0.03380367041701017
structure,vs,POS,numWhPronouns,,
structure,vs,POS,numLexicals,5.736757593842817,0.003854604430937577
structure,vs,POS,numFunctionWords,3.007590026327431,0.05194270149680756
structure,vs,POS,numDeterminers,6.908203547417748,0.0012916455906839945
structure,vs,POS,numVerbsVB,1.6734933208470923,0.1905448816980784
structure,vs,POS,numVerbsVBG,,
structure,vs,POS,numVerbsVBN,0.4119536174881817,0.6629883949808928
structure,vs,POS,numVerbsVBP,,
structure,vs,POS,numVerbsVBZ,,
structure,vs,POS,advVar,13.179601461549632,4.616204413205697e-06
structure,vs,POS,adjVar,3.490191033562544,0.032610305748229346
structure,vs,POS,modVar,10.005214745242677,7.644310143261953e-05
structure,vs,POS,nounVar,2.731004538146141,0.06790035161459486
structure,vs,POS,verbVar1,0.3717389978628764,0.6900712378336991
structure,vs,POS,verbVar2,5.1661748502226725,0.006597858537061779
structure,vs,POS,squaredVerbVar1,0.6730673903392886,0.5114421185676776
structure,vs,POS,correctedVV1,0.8573955736272181,0.42602001760484165
structure,vs,localNounOverlapCount,,,
structure,vs,localArgumentOverlapCount,0.41781279500501856,0.6591332062924595,
structure,vs,localStemOverlapCount,0.32430499244834704,0.7234583960924592,
structure,vs,localContentWordOverlap,1.4967252465756509,0.22668140756654853,
structure,vs,globalNounOverlapCount,,,
structure,vs,globalArgumentOverlapCount,0.11750109077673745,0.8892088386936661,
structure,vs,globalStemOverlapCount,0.19654240785536314,0.8217455448754232,
structure,vs,globalContentWordOverlap,0.3047987353086423,0.737657934107903,
structure,vs,TTR,0.19706349306568413,0.8213184065766869,
structure,vs,CorrectedTTR,0.16560277286086436,0.8475139103687724,
structure,vs,RootTTR,0.1656027728608518,0.8475139103687892,
structure,vs,BilogTTR,0.17266930104667333,0.8415573839167254,
structure,vs,MTLD,12.887349148726496,5.955468994155207e-06,
structure,vs,conjunctToSent,1.6872284435939222,0.18799372312774432,
structure,vs,conjunctTypesToSent,6.819238410443454,0.0014028123058913453,
