Lexical Feature,Spearman Correlation,p-value
POS_numNouns,0.0658226700904885,0.6674917509926596
POS_numProperNouns,-0.30833740031619705,0.039332405112696756
POS_numPronouns,0.010393395516276304,0.9459760280830479
POS_numConjunct,0.0450365637461237,0.7689397972558545
POS_numAdjectives,-0.1628244996975242,0.285216024055036
POS_numVerbs,-0.05889396797570023,0.7007641142216545
POS_numAdverbs,-0.2684960508371379,0.0745295961212383
POS_numModals,,
POS_numPrepositions,0.0,1.0
POS_numInterjections,-0.13888332717471186,0.36289587059432826
POS_numPerPronouns,0.010393395516276304,0.9459760280830479
POS_numWhPronouns,,
POS_numLexicals,-0.36550107565571677,0.013551100340247809
POS_numFunctionWords,0.11432358489400633,0.4545917150890947
POS_numDeterminers,0.3256489993950484,0.029040614947846582
POS_numVerbsVB,0.0450365637461237,0.7689397972558545
POS_numVerbsVBG,,
POS_numVerbsVBN,-0.24943327613237745,0.09845347414220887
POS_numVerbsVBP,,
POS_numVerbsVBZ,,
POS_advVar,-0.21479684066971033,0.15649631351025606
POS_adjVar,-0.1333819091255459,0.38239783280493933
POS_modVar,-0.19053930815667722,0.2099394525379678
POS_nounVar,0.17495549119065112,0.2503484892330656
POS_verbVar1,-0.22346536472535555,0.14005122095116906
POS_verbVar2,-0.003464351057394131,0.981980786665378
POS_squaredVerbVar1,0.010393395516276304,0.9459760280830479
POS_correctedVV1,0.010393395516276304,0.9459760280830479
