Lexical Feature,Spearman Correlation,p-value
POS_numNouns,0.0,1.0
POS_numProperNouns,-0.4565138841660977,0.0016212708467628182
POS_numPronouns,-0.18797630524486375,0.21625129338488144
POS_numConjunct,0.02237739447202196,0.88399550491601
POS_numAdjectives,0.13426436683213175,0.37922857841148205
POS_numVerbs,0.02685287336642635,0.8610034114353345
POS_numAdverbs,-0.18797630524486375,0.21625129338488144
POS_numModals,,
POS_numPrepositions,0.05818122562725708,0.7042197009902735
POS_numInterjections,-0.2219126156605909,0.14289846436236056
POS_numPerPronouns,-0.18797630524486375,0.21625129338488144
POS_numWhPronouns,,
POS_numLexicals,-0.08951252630707798,0.5587179593103372
POS_numFunctionWords,-0.1118869723601098,0.46432600371458654
POS_numDeterminers,0.08503409899368344,0.5786335806301339
POS_numVerbsVB,-0.04027931004963953,0.7927780612577471
POS_numVerbsVBG,,
POS_numVerbsVBN,0.05818122562725708,0.7042197009902735
POS_numVerbsVBP,,
POS_numVerbsVBZ,,
POS_advVar,-0.1902141184025407,0.2107330831589068
POS_adjVar,0.14545785524900173,0.34039435449339395
POS_modVar,-0.06713218341606587,0.6612712338691433
POS_nounVar,0.03804282368050814,0.8040512876651926
POS_verbVar1,-0.1007049093946284,0.5103996925549452
POS_verbVar2,0.04027931004963953,0.7927780612577471
POS_squaredVerbVar1,0.134268789460617,0.37921273436691116
POS_correctedVV1,0.134268789460617,0.37921273436691116
