Lexical Feature,Spearman Correlation,p-value
Segment,,
WC,0.06617482909352182,0.6695353843877458
WPS,0.009189329077484019,0.952791605819427
BigWords,0.07902823006636256,0.6101064884206838
emopos,-0.20033443301398024,0.19227566605876456
emoneg,0.21873686393713865,0.15372205428814517
anxiete,-0.007731585918262506,0.9602739484256373
colère,0.1047888150298636,0.4984394084380459
tristesse,0.2795785991903637,0.06606700011284496
cognition,-0.0018378658154968037,0.9905532181838286
perspicacite,0.12499249367836494,0.41885149477851924
cause,0.07535515370250634,0.6268594678726025
divergence,0.06801541627435109,0.6608907986121235
tentative,-0.07903937100249549,0.6100559669064967
certitude,-0.0459515030969423,0.7670854781669694
inhibition,0.055143747211043356,0.7221980548295386
inclusion,-0.16731065087222102,0.27768356385092796
exclusion,-0.0055141803716330755,0.971661764574179
perception,0.10293862303436728,0.5060951205931947
remplisseur,,
Unnamed: 5,,
Unnamed: 6,,
Unnamed: 7,,
Unnamed: 8,,
Unnamed: 9,,
Unnamed: 10,,
Unnamed: 11,,
Unnamed: 12,,
Unnamed: 13,,
Unnamed: 14,,
Unnamed: 15,,
Unnamed: 16,,
Unnamed: 17,,
Unnamed: 18,,
Unnamed: 19,,
Unnamed: 20,,
Unnamed: 21,,
Unnamed: 38,,
Unnamed: 39,,
Unnamed: 40,,
Unnamed: 41,,
Unnamed: 42,,
