Lexical Feature,Spearman Correlation,p-value
Segment,,
WC,-0.09886412822695789,0.5231622778435197
WPS,0.0071888515468958945,0.9630606056595906
BigWords,0.11861605052378223,0.44315751037987317
emopos,-0.12940388761042396,0.4024882753852551
emoneg,0.11324037357678801,0.46423789741167587
anxiete,-0.022681698081465536,0.8838102732827766
colère,0.016767969422261456,0.9139706138563168
tristesse,0.11118039805338538,0.4724561682142525
cognition,-0.03594425773447947,0.8168191284066614
perspicacite,0.14020236728554708,0.36402677076134193
cause,0.03594552433622888,0.8168127840116226
divergence,0.09167724135282594,0.5539444034581376
tentative,-0.26782247084033994,0.07880583788335502
certitude,0.0593142956034281,0.7021224979026108
inhibition,0.21210101717557123,0.166910116405745
inclusion,-0.18518471827082472,0.22879989003820325
exclusion,-0.06111169850050168,0.6935308900146633
perception,0.12223201308060246,0.4292798912503967
remplisseur,,
Unnamed: 5,,
Unnamed: 6,,
Unnamed: 7,,
Unnamed: 8,,
Unnamed: 9,,
Unnamed: 10,,
Unnamed: 11,,
Unnamed: 12,,
Unnamed: 13,,
Unnamed: 14,,
Unnamed: 15,,
Unnamed: 16,,
Unnamed: 17,,
Unnamed: 18,,
Unnamed: 19,,
Unnamed: 20,,
Unnamed: 21,,
Unnamed: 38,,
Unnamed: 39,,
Unnamed: 40,,
Unnamed: 41,,
Unnamed: 42,,
