Lexical Feature,Spearman Correlation,p-value
POS_numNouns,-0.04777831329330958,0.7552946726719124
POS_numProperNouns,-0.01194497177420035,0.9379257632533713
POS_numPronouns,-0.045789058467768005,0.765187711817316
POS_numConjunct,0.09555662658661916,0.5323606389242375
POS_numAdjectives,0.03981526107775799,0.7951137942423516
POS_numVerbs,-0.051759839401085375,0.7356108865939948
POS_numAdverbs,0.10750474596780314,0.48211105584788594
POS_numModals,,
POS_numPrepositions,-0.02388915664665479,0.876217546069797
POS_numInterjections,0.3003310474258347,0.04501341831678246
POS_numPerPronouns,-0.045789058467768005,0.765187711817316
POS_numWhPronouns,,
POS_numLexicals,0.08361480241940245,0.5850116527218663
POS_numFunctionWords,0.13139036155660136,0.3896075855652895
POS_numDeterminers,-0.14731646598770454,0.33419311109146643
POS_numVerbsVB,0.03981526107775799,0.7951137942423516
POS_numVerbsVBG,,
POS_numVerbsVBN,-0.16722409652658352,0.27222197176187723
POS_numVerbsVBP,,
POS_numVerbsVBZ,,
POS_advVar,0.10551391733876975,0.4903071393201741
POS_adjVar,0.05176154435486818,0.7356024924308197
POS_modVar,0.11148273101772235,0.46595170111332107
POS_nounVar,-0.0935689455645694,0.540961148979347
POS_verbVar1,0.031854307370550214,0.8354439509661655
POS_verbVar2,-0.05972289161663698,0.696752750109078
POS_squaredVerbVar1,0.027871600806467483,0.8557849956896159
POS_correctedVV1,0.027871600806467483,0.8557849956896159
POS_numNouns,,
POS_numProperNouns,,
POS_numPronouns,,
POS_numConjunct,,
POS_numAdjectives,,
POS_numVerbs,,
POS_numAdverbs,,
POS_numModals,,
POS_numPrepositions,,
POS_numInterjections,,
POS_numPerPronouns,,
POS_numWhPronouns,,
POS_numLexicals,,
POS_numFunctionWords,,
POS_numDeterminers,,
POS_numVerbsVB,,
POS_numVerbsVBG,,
POS_numVerbsVBN,,
POS_numVerbsVBP,,
POS_numVerbsVBZ,,
POS_advVar,,
POS_adjVar,,
POS_modVar,,
POS_nounVar,,
POS_verbVar1,,
POS_verbVar2,,
POS_squaredVerbVar1,,
POS_correctedVV1,,
POS_numNouns,-0.06546491378032555,0.6691950454535173
POS_numProperNouns,-0.29534221717728654,0.048878849628287875
POS_numPronouns,-0.005845274122785722,0.9696014377987046
POS_numConjunct,-0.09359923982163214,0.5408295678025853
POS_numAdjectives,-0.028446063725974795,0.8528449835908863
POS_numVerbs,0.1185382545950895,0.4380191250258132
POS_numAdverbs,-0.21339147397583072,0.15929020620670598
POS_numModals,,
POS_numPrepositions,-0.12640963113296197,0.4079842925038176
POS_numInterjections,0.0052620371422725815,0.9726333718336206
POS_numPerPronouns,-0.005845274122785722,0.9696014377987046
POS_numWhPronouns,,
POS_numLexicals,-0.12999889649075447,0.3946919195784927
POS_numFunctionWords,-0.13568382725184142,0.37416355805420454
POS_numDeterminers,0.25492349163743444,0.09102679341643947
POS_numVerbsVB,0.19522572502347088,0.1987333439466093
POS_numVerbsVBG,,
POS_numVerbsVBN,-0.2512605738425829,0.09593158681536641
POS_numVerbsVBP,,
POS_numVerbsVBZ,,
POS_advVar,-0.20442872032089265,0.17796889725636716
POS_adjVar,-0.02197823070167431,0.8860510190395168
POS_modVar,-0.15781720286328482,0.3004891691604516
POS_nounVar,0.03522751871332195,0.8182979229231124
POS_verbVar1,-0.015743790250241304,0.9182432351175692
POS_verbVar2,0.12329225428627981,0.4197350178297169
POS_squaredVerbVar1,0.23583732660732792,0.1188505556275296
POS_correctedVV1,0.23583732660732792,0.1188505556275296
POS_numNouns,0.04644571474037165,0.7619178297461727
POS_numProperNouns,-0.22166600311466877,0.14335458716843325
POS_numPronouns,-0.07379865366487319,0.629959885399737
POS_numConjunct,0.13956860127131618,0.3605094666413484
POS_numAdjectives,-0.11966329495401401,0.43365272587589343
POS_numVerbs,0.1403401247719868,0.3578341060079643
POS_numAdverbs,-0.3278311337397242,0.027918849364854535
POS_numModals,,
POS_numPrepositions,-0.10623878604234513,0.4873145728412469
POS_numInterjections,-0.15021310725312528,0.32466958506386345
POS_numPerPronouns,-0.07379865366487319,0.629959885399737
POS_numWhPronouns,,
POS_numLexicals,-0.2609378428589661,0.08339785931659932
POS_numFunctionWords,-0.1918007422667175,0.2068806595922923
POS_numDeterminers,0.25861467742479366,0.08628318148629963
POS_numVerbsVB,0.11750302915213627,0.44205839707647987
POS_numVerbsVBG,,
POS_numVerbsVBN,0.018902325766430327,0.9019143739017841
POS_numVerbsVBP,,
POS_numVerbsVBZ,,
POS_advVar,-0.32775397884828156,0.02795788855001376
POS_adjVar,-0.10311751241307164,0.5002679694858244
POS_modVar,-0.29186734030369765,0.05172676573453566
POS_nounVar,0.1644942285556818,0.28023771861648306
POS_verbVar1,-0.10285085828143747,0.5013827008883248
POS_verbVar2,0.17258980710001892,0.2569117559236154
POS_squaredVerbVar1,0.1481373915698448,0.3314766173997422
POS_correctedVV1,0.1481373915698448,0.3314766173997422
POS_numNouns,0.0658226700904885,0.6674917509926596
POS_numProperNouns,-0.30833740031619705,0.039332405112696756
POS_numPronouns,0.010393395516276304,0.9459760280830479
POS_numConjunct,0.0450365637461237,0.7689397972558545
POS_numAdjectives,-0.1628244996975242,0.285216024055036
POS_numVerbs,-0.05889396797570023,0.7007641142216545
POS_numAdverbs,-0.2684960508371379,0.0745295961212383
POS_numModals,,
POS_numPrepositions,0.0,1.0
POS_numInterjections,-0.13888332717471186,0.36289587059432826
POS_numPerPronouns,0.010393395516276304,0.9459760280830479
POS_numWhPronouns,,
POS_numLexicals,-0.36550107565571677,0.013551100340247809
POS_numFunctionWords,0.11432358489400633,0.4545917150890947
POS_numDeterminers,0.3256489993950484,0.029040614947846582
POS_numVerbsVB,0.0450365637461237,0.7689397972558545
POS_numVerbsVBG,,
POS_numVerbsVBN,-0.24943327613237745,0.09845347414220887
POS_numVerbsVBP,,
POS_numVerbsVBZ,,
POS_advVar,-0.21479684066971033,0.15649631351025606
POS_adjVar,-0.1333819091255459,0.38239783280493933
POS_modVar,-0.19053930815667722,0.2099394525379678
POS_nounVar,0.17495549119065112,0.2503484892330656
POS_verbVar1,-0.22346536472535555,0.14005122095116906
POS_verbVar2,-0.003464351057394131,0.981980786665378
POS_squaredVerbVar1,0.010393395516276304,0.9459760280830479
POS_correctedVV1,0.010393395516276304,0.9459760280830479
