Lexical Feature,Spearman Correlation,p-value
localNounOverlapCount,,
localArgumentOverlapCount,-0.09161131764477536,0.5494965438470656
localStemOverlapCount,-0.05377363298723144,0.725717653077655
localContentWordOverlap,0.0,1.0
globalNounOverlapCount,,
globalArgumentOverlapCount,-0.07963052215551598,0.6030824731578959
globalStemOverlapCount,-0.07564899604774017,0.621378668011935
globalContentWordOverlap,0.035833734969982184,0.8152251508504103
localNounOverlapCount,,
localArgumentOverlapCount,,
localStemOverlapCount,,
localContentWordOverlap,,
globalNounOverlapCount,,
globalArgumentOverlapCount,,
globalStemOverlapCount,,
globalContentWordOverlap,,
localNounOverlapCount,,
localArgumentOverlapCount,0.1364391762325266,0.37148480413258045
localStemOverlapCount,0.07773391030410999,0.6117688151126496
localContentWordOverlap,0.0002338032635011627,0.9987838141240487
globalNounOverlapCount,,
globalArgumentOverlapCount,0.07801235558822128,0.6104902142722093
globalStemOverlapCount,0.03686298121201666,0.8100144325538685
globalContentWordOverlap,0.028913670252977124,0.8504532991103606
localNounOverlapCount,,
localArgumentOverlapCount,-0.018832618610807535,0.9022743362086458
localStemOverlapCount,-0.02404325445219288,0.8754253534374368
localContentWordOverlap,-0.023377162070319955,0.8788504847829415
globalNounOverlapCount,,
globalArgumentOverlapCount,-0.03209537762789802,0.8342159856458705
globalStemOverlapCount,-0.05940730955163817,0.6982789718753866
globalContentWordOverlap,-0.053620883296608475,0.7264665496017342
localNounOverlapCount,,
localArgumentOverlapCount,0.0,1.0
localStemOverlapCount,0.03812418971504995,0.8036404495090715
localContentWordOverlap,-0.1108592338366122,0.46846512520526373
globalNounOverlapCount,,
globalArgumentOverlapCount,0.05196526586091197,0.7345997101951578
globalStemOverlapCount,0.02078610634436479,0.8921942762712363
globalContentWordOverlap,-0.1455027444105535,0.340243749291295
localNounOverlapCount,,
localArgumentOverlapCount,-0.048228097278335665,0.7530630827570826
localStemOverlapCount,-0.03617226536584495,0.8135104064543948
localContentWordOverlap,0.05853953766776546,0.7024817562881824
globalNounOverlapCount,,
globalArgumentOverlapCount,0.05165253323626364,0.7361392586069007
globalStemOverlapCount,0.06542654209926728,0.6693778325324776
globalContentWordOverlap,0.04476552880476182,0.770292515088441
localNounOverlapCount,,
localArgumentOverlapCount,0.037071735464702146,0.8089585642162717
localStemOverlapCount,0.012357652520941308,0.9357855898562376
localContentWordOverlap,0.16234530157732388,0.2866553418925386
globalNounOverlapCount,,
globalArgumentOverlapCount,0.11293586196683399,0.4601220261969159
globalStemOverlapCount,0.1305820903991518,0.39255626784322273
globalContentWordOverlap,0.15528681020439675,0.3084035805970944
localNounOverlapCount,,
localArgumentOverlapCount,-0.1701354584993844,0.26384173866733795
localStemOverlapCount,-0.12088970560298229,0.42892067862500627
localContentWordOverlap,-0.06713218341606587,0.6612712338691433
globalNounOverlapCount,,
globalArgumentOverlapCount,-0.06713218341606587,0.6612712338691433
globalStemOverlapCount,-0.08950957788808785,0.55873096454757
globalContentWordOverlap,-0.1074114934657054,0.4824933576087802
localNounOverlapCount,,
localArgumentOverlapCount,,
localStemOverlapCount,,
localContentWordOverlap,,
globalNounOverlapCount,,
globalArgumentOverlapCount,,
globalStemOverlapCount,,
globalContentWordOverlap,,
