Lexical Feature,Spearman Correlation,p-value
conjunctToSent,0.0,1.0
conjunctTypesToSent,-0.07368979335287272,0.6304662582341407
conjunctToWords,0.09157510047884336,0.5496550545375406
conjunctNum,0.08580654697540194,0.5751756352296693
conjunctTypesToTotal,-0.0856677357188655,0.5757963435199481
conjunctNeighborSent,0.24629582020749743,0.10290225631518927
conjunctToSent,,
conjunctTypesToSent,,
conjunctToWords,,
conjunctNum,,
conjunctTypesToTotal,,
conjunctNeighborSent,,
conjunctToSent,-0.027281540785883285,0.8588068424995599
conjunctTypesToSent,0.13504025340693931,0.37645498252104825
conjunctToWords,-0.09071566623845115,0.5534228827164596
conjunctNum,-0.04546578527457992,0.7667989693447739
conjunctTypesToTotal,0.12081197730755587,0.4292197271214657
conjunctNeighborSent,-0.023046713478966592,0.8805505092750172
conjunctToSent,0.19005754144217518,0.2111159573424821
conjunctTypesToSent,0.2486527904261296,0.0995460724662184
conjunctToWords,0.1687321895966658,0.2678593087627086
conjunctNum,0.12578696094983335,0.4103161644819705
conjunctTypesToTotal,0.05204012322576173,0.7342313479087837
conjunctNeighborSent,-3.880176862353102e-05,0.9997981628682295
conjunctToSent,0.050241365283318275,0.7430989219585835
conjunctTypesToSent,0.24087556229054286,0.11094918392419709
conjunctToWords,0.06235831903309436,0.6840539724831256
conjunctNum,0.027780770016455274,0.8562500314740213
conjunctTypesToTotal,0.18028288470074888,0.23598480103029873
conjunctNeighborSent,-0.012196137075538733,0.9366231608003663
conjunctToSent,-0.0034440694675817495,0.9820862606408912
conjunctTypesToSent,-0.07406701955863489,0.6287122756300894
conjunctToWords,0.010330506647252729,0.9463024410174957
conjunctNum,0.013806791159739961,0.9282739613605924
conjunctTypesToTotal,-0.07581450575041593,0.6206134865636527
conjunctNeighborSent,0.05888187706372469,0.7008226850158368
conjunctToSent,-0.058242146537994095,0.7039241068173763
conjunctTypesToSent,-0.10768811482534567,0.48135977302142385
conjunctToWords,-0.0741141594157348,0.6284932319600409
conjunctNum,0.005306467996615225,0.9724023858615685
conjunctTypesToTotal,-0.11655343918488303,0.4457815440726448
conjunctNeighborSent,-0.062122982706233405,0.6851845023620007
conjunctToSent,-0.06266702602811841,0.6825720134125932
conjunctTypesToSent,-0.10074142133581857,0.5102455933203691
conjunctToWords,0.02237739447202196,0.88399550491601
conjunctNum,0.04934743643219182,0.7475181827474429
conjunctTypesToTotal,-0.11197183166116717,0.4639851206166292
conjunctNeighborSent,0.18231688610298444,0.2306521324135842
conjunctToSent,,
conjunctTypesToSent,,
conjunctToWords,,
conjunctNum,,
conjunctTypesToTotal,,
conjunctNeighborSent,,
