Lexical Feature,Spearman Correlation,p-value
DISC_RefExprPronounsPerNoun,-0.02588162473857205,0.865984077886043
DISC_RefExprPronounsPerSen,-0.057745444264995026,0.7063354091202441
DISC_RefExprPronounsPerWord,-0.011944578323327395,0.9379278039089322
DISC_RefExprPerPronounsPerSen,-0.057745444264995026,0.7063354091202441
DISC_RefExprPerProPerWord,-0.011944578323327395,0.9379278039089322
DISC_RefExprPossProPerSen,,
DISC_RefExprPossProPerWord,,
DISC_RefExprDefArtPerSen,,
DISC_RefExprDefArtPerWord,,
DISC_RefExprProperNounsPerNoun,0.007963052215551596,0.9585961277204289
DISC_RefExprPronounsPerNoun,,
DISC_RefExprPronounsPerSen,,
DISC_RefExprPronounsPerWord,,
DISC_RefExprPerPronounsPerSen,,
DISC_RefExprPerProPerWord,,
DISC_RefExprPossProPerSen,,
DISC_RefExprPossProPerWord,,
DISC_RefExprDefArtPerSen,,
DISC_RefExprDefArtPerWord,,
DISC_RefExprProperNounsPerNoun,,
DISC_RefExprPronounsPerNoun,0.01184681246552811,0.9384348843047221
DISC_RefExprPronounsPerSen,0.11856559500574537,0.4379127257460681
DISC_RefExprPronounsPerWord,0.0395127515316965,0.7966373943145963
DISC_RefExprPerPronounsPerSen,0.11856559500574537,0.4379127257460681
DISC_RefExprPerProPerWord,0.0395127515316965,0.7966373943145963
DISC_RefExprPossProPerSen,,
DISC_RefExprPossProPerWord,,
DISC_RefExprDefArtPerSen,,
DISC_RefExprDefArtPerWord,,
DISC_RefExprProperNounsPerNoun,-0.28648693221009136,0.05639918051680044
DISC_RefExprPronounsPerNoun,-0.09621531903747375,0.5295253467277855
DISC_RefExprPronounsPerSen,0.1002440183182108,0.5123469071167597
DISC_RefExprPronounsPerWord,-0.026386103722935393,0.8633964025849062
DISC_RefExprPerPronounsPerSen,0.1002440183182108,0.5123469071167597
DISC_RefExprPerProPerWord,-0.026386103722935393,0.8633964025849062
DISC_RefExprPossProPerSen,,
DISC_RefExprPossProPerWord,,
DISC_RefExprDefArtPerSen,,
DISC_RefExprDefArtPerWord,,
DISC_RefExprProperNounsPerNoun,-0.24418718796225297,0.10597777517616185
DISC_RefExprPronounsPerNoun,-0.04157495157681034,0.7862661588340555
DISC_RefExprPronounsPerSen,0.12821055359534672,0.4012829419642896
DISC_RefExprPronounsPerWord,0.06928702114788264,0.6510843159012394
DISC_RefExprPerPronounsPerSen,0.12821055359534672,0.4012829419642896
DISC_RefExprPerProPerWord,0.06928702114788264,0.6510843159012394
DISC_RefExprPossProPerSen,,
DISC_RefExprPossProPerWord,,
DISC_RefExprDefArtPerSen,,
DISC_RefExprDefArtPerWord,,
DISC_RefExprProperNounsPerNoun,-0.32911335045244244,0.027276674412660382
DISC_RefExprPronounsPerNoun,0.04993407170128291,0.7446171574999217
DISC_RefExprPronounsPerSen,0.08610741117049954,0.573831339587604
DISC_RefExprPronounsPerWord,0.08264405317802183,0.5893920961576999
DISC_RefExprPerPronounsPerSen,0.08610741117049954,0.573831339587604
DISC_RefExprPerProPerWord,0.08264405317802183,0.5893920961576999
DISC_RefExprPossProPerSen,,
DISC_RefExprPossProPerWord,,
DISC_RefExprDefArtPerSen,,
DISC_RefExprDefArtPerWord,,
DISC_RefExprProperNounsPerNoun,0.003443502215750909,0.9820892106262971
DISC_RefExprPronounsPerNoun,-0.118237519786026,0.4391904254058645
DISC_RefExprPronounsPerSen,-0.13237723852303127,0.386025002377853
DISC_RefExprPronounsPerWord,-0.15175756451793318,0.3196621259574014
DISC_RefExprPerPronounsPerSen,-0.13237723852303127,0.386025002377853
DISC_RefExprPerProPerWord,-0.15175756451793318,0.3196621259574014
DISC_RefExprPossProPerSen,,
DISC_RefExprPossProPerWord,,
DISC_RefExprDefArtPerSen,,
DISC_RefExprDefArtPerWord,,
DISC_RefExprProperNounsPerNoun,-0.024704719805244937,0.8720262408902193
DISC_RefExprPronounsPerNoun,-0.17903095003489494,0.23930857877704986
DISC_RefExprPronounsPerSen,-0.17010742358916406,0.26392160818998667
DISC_RefExprPronounsPerWord,-0.14321532462094053,0.34797053948045165
DISC_RefExprPerPronounsPerSen,-0.17010742358916406,0.26392160818998667
DISC_RefExprPerProPerWord,-0.14321532462094053,0.34797053948045165
DISC_RefExprPossProPerSen,,
DISC_RefExprPossProPerWord,,
DISC_RefExprDefArtPerSen,,
DISC_RefExprDefArtPerWord,,
DISC_RefExprProperNounsPerNoun,-0.47440076280686555,0.0009936016050962867
DISC_RefExprPronounsPerNoun,,
DISC_RefExprPronounsPerSen,,
DISC_RefExprPronounsPerWord,,
DISC_RefExprPerPronounsPerSen,,
DISC_RefExprPerProPerWord,,
DISC_RefExprPossProPerSen,,
DISC_RefExprPossProPerWord,,
DISC_RefExprDefArtPerSen,,
DISC_RefExprDefArtPerWord,,
DISC_RefExprProperNounsPerNoun,,
