Lexical Feature,Spearman Correlation,p-value
synonymToNouns,-0.1811952507810695,0.23358248277059915
synonymToVerbs,-0.3026059516130755,0.04333527958881221
averageSynClassNOUN,0.1811952507810695,0.23358248277059915
averageSynClassVERB,0.3026059516130755,0.04333527958881221
synonymToNouns,,
synonymToVerbs,,
averageSynClassNOUN,,
averageSynClassVERB,,
synonymToNouns,-0.12004273480261486,0.4321855737766962
synonymToVerbs,-0.29787516929716035,0.04688398964046995
averageSynClassNOUN,0.12004273480261486,0.4321855737766962
averageSynClassVERB,0.29787516929716035,0.04688398964046995
synonymToNouns,0.10579678246343634,0.4891382188483818
synonymToVerbs,-0.06689329088075803,0.6624043674828176
averageSynClassNOUN,-0.10579678246343634,0.4891382188483818
averageSynClassVERB,0.06689329088075803,0.6624043674828176
synonymToNouns,-0.020790215488685718,0.8921730900898751
synonymToVerbs,0.11952404843717751,0.4341918360031617
averageSynClassNOUN,0.020790215488685718,0.8921730900898751
averageSynClassVERB,-0.11952404843717751,0.4341918360031617
synonymToNouns,-0.0637173846044419,0.6775385933865861
synonymToVerbs,0.07575954416127262,0.6208675401178748
averageSynClassNOUN,0.0637173846044419,0.6775385933865861
averageSynClassVERB,-0.07575954416127262,0.6208675401178748
synonymToNouns,-0.09354349937599428,0.5410716848016466
synonymToVerbs,-0.1447038394896273,0.3429302680639348
averageSynClassNOUN,0.09354349937599428,0.5410716848016466
averageSynClassVERB,0.1447038394896273,0.3429302680639348
synonymToNouns,0.0671454545802592,0.6612083069697277
synonymToVerbs,-0.06489658157263155,0.6719042776012458
averageSynClassNOUN,-0.0671454545802592,0.6612083069697277
averageSynClassVERB,0.06489658157263155,0.6719042776012458
synonymToNouns,,
synonymToVerbs,,
averageSynClassNOUN,,
averageSynClassVERB,,
