,text_density_Best_Feature&,text_density_Best_Correlation&,text_density_Best_p-value&,text_discourse_Best_Feature&,text_discourse_Best_Correlation&,text_discourse_Best_p-value&,text_diversity_Best_Feature&,text_diversity_Best_Correlation&,text_diversity_Best_p-value&,text_linking_rate_Best_Feature&,text_linking_rate_Best_Correlation&,text_linking_rate_Best_p-value&,text_LIWC_Best_Feature&,text_LIWC_Best_Correlation&,text_LIWC_Best_p-value&,text_reference_Best_Feature&,text_reference_Best_Correlation&,text_reference_Best_p-value&,text_synonyms_rate_Best_Feature&,text_synonyms_rate_Best_Correlation&,text_synonyms_rate_Best_p-value&
length,POS_numInterjections&,$0.3$&,$0.045$&,globalContentWordOverlap&,$0.04$&,$0.815$&,BilogTTR&,$0.19$&,$0.204$&,conjunctNeighborSent&,$0.25$&,$0.103$&,inhibition&,$0.39$&,$0.008$&,DISC_RefExprProperNounsPerNoun&,$0.01$&,$0.959$&,averageSynClassVERB&,$0.3$&,$0.043$&
topic,POS_numDeterminers&,$0.25$&,$0.091$&,localArgumentOverlapCount&,$0.14$&,$0.371$&,MTLD&,$0.25$&,$0.103$&,conjunctTypesToSent&,$0.14$&,$0.376$&,anxiete&,$0.33$&,$0.027$&,DISC_RefExprProperNounsPerNoun&,$-0.29$&,$0.056$&,averageSynClassVERB&,$0.3$&,$0.047$&
structure,POS_verbVar2&,$0.17$&,$0.257$&,globalContentWordOverlap&,$-0.05$&,$0.726$&,MTLD&,$0.3$&,$0.048$&,conjunctTypesToSent&,$0.25$&,$0.1$&,BigWords&,$0.29$&,$0.054$&,DISC_RefExprProperNounsPerNoun&,$-0.24$&,$0.106$&,averageSynClassVERB&,$0.07$&,$0.662$&
languageLVL,POS_numDeterminers&,$0.33$&,$0.029$&,globalContentWordOverlap&,$-0.15$&,$0.34$&,MTLD&,$0.26$&,$0.085$&,conjunctTypesToSent&,$0.24$&,$0.111$&,anxiete&,$0.21$&,$0.173$&,DISC_RefExprProperNounsPerNoun&,$-0.33$&,$0.027$&,averageSynClassVERB&,$-0.12$&,$0.434$&
passiveV,POS_numFunctionWords&,$0.24$&,$0.116$&,globalStemOverlapCount&,$0.07$&,$0.669$&,BilogTTR&,$0.22$&,$0.146$&,conjunctNeighborSent&,$0.06$&,$0.701$&,inhibition&,$0.21$&,$0.167$&,DISC_RefExprPronounsPerSen&,$0.09$&,$0.574$&,averageSynClassVERB&,$-0.08$&,$0.621$&
negLang,POS_verbVar1&,$0.29$&,$0.052$&,localContentWordOverlap&,$0.16$&,$0.287$&,BilogTTR&,$0.1$&,$0.518$&,conjunctNeighborSent&,$-0.06$&,$0.685$&,tristesse&,$0.28$&,$0.066$&,DISC_RefExprProperNounsPerNoun&,$-0.02$&,$0.872$&,averageSynClassVERB&,$0.14$&,$0.343$&
metaphor,POS_adjVar&,$0.15$&,$0.34$&,globalContentWordOverlap&,$-0.11$&,$0.482$&,MTLD&,$0.23$&,$0.124$&,conjunctNeighborSent&,$0.18$&,$0.231$&,anxiete&,$0.38$&,$0.012$&,DISC_RefExprProperNounsPerNoun&,$-0.47$&,$0.001$&,averageSynClassVERB&,$0.06$&,$0.672$&
,,,,,,,,,,,,,,,,,,,,,
,text_diversity_Best_Correlation&,text_diversity_Best_p-value&,text_density_Best_Correlation&,text_density_Best_p-value&,text_discourse_Best_Correlation&,text_discourse_Best_p-value&,text_reference_Best_Correlation&,text_reference_Best_p-value&,text_linking_rate_Best_Correlation&,text_linking_rate_Best_p-value&,text_synonyms_rate_Best_Correlation&,text_synonyms_rate_Best_p-value&,text_LIWC_Best_Correlation&,text_LIWC_Best_p-value&,,,,,,,
length,$0.19$&,$0.204$&,$0.3$&,$0.045$&,$0.04$&,$0.815$&,$0.01$&,$0.959$&,$0.25$&,$0.103$&,$0.3$&,$0.043$&,$0.39$&,$0.008$&,,,,,,,
topic,$0.25$&,$0.103$&,$0.25$&,$0.091$&,$0.14$&,$0.371$&,$-0.29$&,$0.056$&,$0.14$&,$0.376$&,$0.3$&,$0.047$&,$0.33$&,$0.027$&,,,,,,,
structure,$0.3$&,$0.048$&,$0.17$&,$0.257$&,$-0.05$&,$0.726$&,$-0.24$&,$0.106$&,$0.25$&,$0.1$&,$0.07$&,$0.662$&,$0.29$&,$0.054$&,,,,,,,
languageLVL,$0.26$&,$0.085$&,$0.33$&,$0.029$&,$-0.15$&,$0.34$&,$-0.33$&,$0.027$&,$0.24$&,$0.111$&,$-0.12$&,$0.434$&,$0.21$&,$0.173$&,,,,,,,
passiveV,$0.22$&,$0.146$&,$0.24$&,$0.116$&,$0.07$&,$0.669$&,$0.09$&,$0.574$&,$0.06$&,$0.701$&,$-0.08$&,$0.621$&,$0.21$&,$0.167$&,,,,,,,
negLang,$0.1$&,$0.518$&,$0.29$&,$0.052$&,$0.16$&,$0.287$&,$-0.02$&,$0.872$&,$-0.06$&,$0.685$&,$0.14$&,$0.343$&,$0.28$&,$0.066$&,,,,,,,
metaphor,$0.23$&,$0.124$&,$0.15$&,$0.34$&,$-0.11$&,$0.482$&,$-0.47$&,$0.001$&,$0.18$&,$0.231$&,$0.06$&,$0.672$&,$0.38$&,$0.012$&,,,,,,,
