Lexical Feature,Spearman Correlation,p-value
POS_numNouns,-0.06546491378032555,0.6691950454535173
POS_numProperNouns,-0.29534221717728654,0.048878849628287875
POS_numPronouns,-0.005845274122785722,0.9696014377987046
POS_numConjunct,-0.09359923982163214,0.5408295678025853
POS_numAdjectives,-0.028446063725974795,0.8528449835908863
POS_numVerbs,0.1185382545950895,0.4380191250258132
POS_numAdverbs,-0.21339147397583072,0.15929020620670598
POS_numModals,,
POS_numPrepositions,-0.12640963113296197,0.4079842925038176
POS_numInterjections,0.0052620371422725815,0.9726333718336206
POS_numPerPronouns,-0.005845274122785722,0.9696014377987046
POS_numWhPronouns,,
POS_numLexicals,-0.12999889649075447,0.3946919195784927
POS_numFunctionWords,-0.13568382725184142,0.37416355805420454
POS_numDeterminers,0.25492349163743444,0.09102679341643947
POS_numVerbsVB,0.19522572502347088,0.1987333439466093
POS_numVerbsVBG,,
POS_numVerbsVBN,-0.2512605738425829,0.09593158681536641
POS_numVerbsVBP,,
POS_numVerbsVBZ,,
POS_advVar,-0.20442872032089265,0.17796889725636716
POS_adjVar,-0.02197823070167431,0.8860510190395168
POS_modVar,-0.15781720286328482,0.3004891691604516
POS_nounVar,0.03522751871332195,0.8182979229231124
POS_verbVar1,-0.015743790250241304,0.9182432351175692
POS_verbVar2,0.12329225428627981,0.4197350178297169
POS_squaredVerbVar1,0.23583732660732792,0.1188505556275296
POS_correctedVV1,0.23583732660732792,0.1188505556275296
