Lexical Feature,Spearman Correlation,p-value
DISC_RefExprPronounsPerNoun,0.01184681246552811,0.9384348843047221
DISC_RefExprPronounsPerSen,0.11856559500574537,0.4379127257460681
DISC_RefExprPronounsPerWord,0.0395127515316965,0.7966373943145963
DISC_RefExprPerPronounsPerSen,0.11856559500574537,0.4379127257460681
DISC_RefExprPerProPerWord,0.0395127515316965,0.7966373943145963
DISC_RefExprPossProPerSen,,
DISC_RefExprPossProPerWord,,
DISC_RefExprDefArtPerSen,,
DISC_RefExprDefArtPerWord,,
DISC_RefExprProperNounsPerNoun,-0.28648693221009136,0.05639918051680044
