,Correlation
POS_numNouns,0.10089473244516965
POS_numProperNouns,-0.28454936238707673
POS_numPronouns,0.10591984070061404
POS_numConjunct,0.02867314113741282
POS_numAdjectives,-0.10087014490146337
POS_numVerbs,-0.08418980221376605
POS_numAdverbs,-0.2794805714185033
POS_numModals,
POS_numPrepositions,-0.007244455184287219
POS_numInterjections,-0.12190387619524186
POS_numPerPronouns,0.10591984070061404
POS_numWhPronouns,
POS_numLexicals,-0.3529740028371667
POS_numFunctionWords,0.07200931696850252
POS_numDeterminers,0.31965425460398916
POS_numVerbsVB,0.06232916927328559
POS_numVerbsVBG,
POS_numVerbsVBN,-0.2610831732848518
POS_numVerbsVBP,
POS_numVerbsVBZ,
POS_advVar,-0.24806707959769322
POS_adjVar,-0.0625193815793993
POS_modVar,-0.2295324330119215
POS_nounVar,0.21877422553978892
POS_verbVar1,-0.18246602354826674
POS_verbVar2,0.02187516749768367
POS_squaredVerbVar1,-0.08189548351768344
POS_correctedVV1,-0.07173552438620233
localNounOverlapCount,
localArgumentOverlapCount,0.011855846754546213
localStemOverlapCount,0.07714910556569847
localContentWordOverlap,-0.03476916450411365
globalNounOverlapCount,
globalArgumentOverlapCount,0.03260615908516856
globalStemOverlapCount,0.04510276774716455
globalContentWordOverlap,-0.030890432494838096
TTR,-0.03945337742933005
CorrectedTTR,-0.07225452451591498
RootTTR,-0.07225452451591141
BilogTTR,-0.07868904114171044
MTLD,0.285640566858225
conjunctToSent,0.04577334535004399
conjunctTypesToSent,0.25643452560354346
conjunctToWords,0.06627541701428416
conjunctNum,0.027660440937346268
conjunctTypesToTotal,0.22728176025546865
conjunctNeighborSent,-0.009009934397033969
Segment,
WC,0.02584199153834626
WPS,0.1411839599253446
BigWords,0.032451496860436545
emopos,0.037262438211715404
emoneg,-0.2149866063357088
anxiete,0.11266610004154491
colère,0.07633867763794207
tristesse,-0.14054384026310693
cognition,0.023344517206343465
perspicacite,0.004264371005404675
cause,-0.09582564520384038
divergence,-0.09780570589416222
tentative,-0.06361348361480147
certitude,0.1890144794514019
inhibition,-0.02452458172763786
inclusion,0.0906920158564362
exclusion,-0.16285878473367107
perception,0.07521990280717719
remplisseur,
Unnamed: 5,
Unnamed: 6,
Unnamed: 7,
Unnamed: 8,
Unnamed: 9,
Unnamed: 10,
Unnamed: 11,
Unnamed: 12,
Unnamed: 13,
Unnamed: 14,
Unnamed: 15,
Unnamed: 16,
Unnamed: 17,
Unnamed: 18,
Unnamed: 19,
Unnamed: 20,
Unnamed: 21,
Unnamed: 38,
Unnamed: 39,
Unnamed: 40,
Unnamed: 41,
Unnamed: 42,
DISC_RefExprPronounsPerNoun,0.033090542057628215
DISC_RefExprPronounsPerSen,0.18786401469490308
DISC_RefExprPronounsPerWord,0.14159101499514637
DISC_RefExprPerPronounsPerSen,0.18786401469490308
DISC_RefExprPerProPerWord,0.14159101499514637
DISC_RefExprPossProPerSen,
DISC_RefExprPossProPerWord,
DISC_RefExprDefArtPerSen,
DISC_RefExprDefArtPerWord,
DISC_RefExprProperNounsPerNoun,-0.33414002736947734
