,Correlation
POS_numNouns,-0.08285601738240682
POS_numProperNouns,-0.025103473506751305
POS_numPronouns,0.03310843005341906
POS_numConjunct,0.05558891623167097
POS_numAdjectives,0.09761925161163107
POS_numVerbs,-0.052929591171113864
POS_numAdverbs,0.09634776298678158
POS_numModals,
POS_numPrepositions,-0.005077814961451312
POS_numInterjections,0.2628778810220703
POS_numPerPronouns,0.03310843005341906
POS_numWhPronouns,
POS_numLexicals,0.04709630575654295
POS_numFunctionWords,0.06303944339733984
POS_numDeterminers,-0.13308810683381808
POS_numVerbsVB,0.09276419018244288
POS_numVerbsVBG,
POS_numVerbsVBN,-0.26068627434755426
POS_numVerbsVBP,
POS_numVerbsVBZ,
POS_advVar,0.09698646165100366
POS_adjVar,0.09420574299202755
POS_modVar,0.1325378832296329
POS_nounVar,-0.09119288567716274
POS_verbVar1,0.06520846718003792
POS_verbVar2,-0.05647468507258974
POS_squaredVerbVar1,-0.032307066399105085
POS_correctedVV1,-0.017062046370613874
localNounOverlapCount,
localArgumentOverlapCount,-0.09019647704640958
localStemOverlapCount,-0.060260021098302315
localContentWordOverlap,0.05794240100306292
globalNounOverlapCount,
globalArgumentOverlapCount,-0.16197556383449327
globalStemOverlapCount,-0.15143104643855335
globalContentWordOverlap,0.05443233065508537
TTR,0.0569018806169604
CorrectedTTR,0.11253155823262194
RootTTR,0.11253155823262319
BilogTTR,0.13697415673649854
MTLD,0.023622402952415102
conjunctToSent,0.016663904958143103
conjunctTypesToSent,-0.10264000795779464
conjunctToWords,0.09897298959401554
conjunctNum,0.06540179111752993
conjunctTypesToTotal,-0.08512061946864433
conjunctNeighborSent,0.23539780840739036
Segment,
WC,-0.17084097783079855
WPS,0.006872488754290748
BigWords,0.18206531406622756
emopos,-0.04356850614113186
emoneg,0.24266192417097962
anxiete,0.015666849877798695
colère,0.04979153425342784
tristesse,0.12381368676145083
cognition,0.13531977137512036
perspicacite,0.253470074085563
cause,0.03988646921414313
divergence,0.11466122674937981
tentative,-0.09453188813447308
certitude,0.1392138189216808
inhibition,0.38399752059737624
inclusion,-0.14067378594214094
exclusion,-0.057652401008763614
perception,-0.13791584608866983
remplisseur,
Unnamed: 5,
Unnamed: 6,
Unnamed: 7,
Unnamed: 8,
Unnamed: 9,
Unnamed: 10,
Unnamed: 11,
Unnamed: 12,
Unnamed: 13,
Unnamed: 14,
Unnamed: 15,
Unnamed: 16,
Unnamed: 17,
Unnamed: 18,
Unnamed: 19,
Unnamed: 20,
Unnamed: 21,
Unnamed: 38,
Unnamed: 39,
Unnamed: 40,
Unnamed: 41,
Unnamed: 42,
DISC_RefExprPronounsPerNoun,0.033176172359080734
DISC_RefExprPronounsPerSen,0.0017210452601005306
DISC_RefExprPronounsPerWord,0.05626566697019041
DISC_RefExprPerPronounsPerSen,0.0017210452601005306
DISC_RefExprPerProPerWord,0.05626566697019041
DISC_RefExprPossProPerSen,
DISC_RefExprPossProPerWord,
DISC_RefExprDefArtPerSen,
DISC_RefExprDefArtPerWord,
DISC_RefExprProperNounsPerNoun,-0.01885006246645143
