,Correlation
POS_numNouns,0.0
POS_numProperNouns,-0.4565138841660977
POS_numPronouns,-0.18797630524486375
POS_numConjunct,0.02237739447202196
POS_numAdjectives,0.13426436683213178
POS_numVerbs,0.026852873366426354
POS_numAdverbs,-0.18797630524486375
POS_numModals,
POS_numPrepositions,0.058181225627257104
POS_numInterjections,-0.2219126156605909
POS_numPerPronouns,-0.18797630524486375
POS_numWhPronouns,
POS_numLexicals,-0.08951252630707798
POS_numFunctionWords,-0.1118869723601098
POS_numDeterminers,0.08503409899368346
POS_numVerbsVB,-0.040279310049639534
POS_numVerbsVBG,
POS_numVerbsVBN,0.058181225627257104
POS_numVerbsVBP,
POS_numVerbsVBZ,
POS_advVar,-0.1902141184025407
POS_adjVar,0.14545785524900173
POS_modVar,-0.06713218341606589
POS_nounVar,0.03804282368050814
POS_verbVar1,-0.10070490939462841
POS_verbVar2,0.040279310049639534
POS_squaredVerbVar1,0.13426878946061696
POS_correctedVV1,0.13426878946061696
localNounOverlapCount,
localArgumentOverlapCount,-0.17013545849938444
localStemOverlapCount,-0.12088970560298228
localContentWordOverlap,-0.06713218341606589
globalNounOverlapCount,
globalArgumentOverlapCount,-0.06713218341606589
globalStemOverlapCount,-0.08950957788808785
globalContentWordOverlap,-0.10741149346570542
TTR,-0.16113316323463975
CorrectedTTR,-0.12980171482790423
RootTTR,-0.12980171482790423
BilogTTR,-0.11189803002405538
MTLD,0.23272490250902841
conjunctToSent,-0.06266702602811841
conjunctTypesToSent,-0.10074142133581855
conjunctToWords,0.02237739447202196
conjunctNum,0.049347436432191825
conjunctTypesToTotal,-0.11197183166116717
conjunctNeighborSent,0.18231688610298444
Segment,
WC,0.19028926070997845
WPS,-0.023201918599571023
BigWords,-0.013921151159742615
emopos,-0.10905286008117783
emoneg,-0.07889764419767736
anxiete,0.37578497765877766
colère,0.06253680460649924
tristesse,-0.07764914968754434
cognition,-0.16705381391691138
perspicacite,-0.02320518946990511
cause,0.0324838306624785
divergence,-0.00232068254239041
tentative,-0.18796203470623138
certitude,0.041767868920745625
inhibition,-0.16707736418331678
inclusion,0.027853100187767637
exclusion,-0.09513792365280947
perception,0.08818282813389246
remplisseur,
Unnamed: 5,
Unnamed: 6,
Unnamed: 7,
Unnamed: 8,
Unnamed: 9,
Unnamed: 10,
Unnamed: 11,
Unnamed: 12,
Unnamed: 13,
Unnamed: 14,
Unnamed: 15,
Unnamed: 16,
Unnamed: 17,
Unnamed: 18,
Unnamed: 19,
Unnamed: 20,
Unnamed: 21,
Unnamed: 38,
Unnamed: 39,
Unnamed: 40,
Unnamed: 41,
Unnamed: 42,
DISC_RefExprPronounsPerNoun,-0.17903095003489494
DISC_RefExprPronounsPerSen,-0.17010742358916406
DISC_RefExprPronounsPerWord,-0.14321532462094055
DISC_RefExprPerPronounsPerSen,-0.17010742358916406
DISC_RefExprPerProPerWord,-0.14321532462094055
DISC_RefExprPossProPerSen,
DISC_RefExprPossProPerWord,
DISC_RefExprDefArtPerSen,
DISC_RefExprDefArtPerWord,
DISC_RefExprProperNounsPerNoun,-0.4744007628068656
