,Correlation
POS_verbVar1,0.2951558284335972
tristesse,0.2933353019884562
emoneg,0.23411141813723527
POS_squaredVerbVar1,0.20881324817736283
POS_numInterjections,0.20060349985248221
POS_correctedVV1,0.1984473326053609
perspicacite,0.1760095095651085
POS_numVerbsVBN,0.1633891160594056
POS_numPrepositions,0.1501576369798686
globalStemOverlapCount,0.10619776032474033
colère,0.10270117942315808
WC,0.09590033220361398
globalArgumentOverlapCount,0.09189078393737206
cause,0.0739573797841217
globalContentWordOverlap,0.07383430967651973
localContentWordOverlap,0.06264519680377297
divergence,0.05975154081338778
BigWords,0.05898226738857044
POS_verbVar2,0.05346767871650193
POS_numVerbs,0.049236764194815895
POS_adjVar,0.03741260352171528
POS_numAdjectives,0.02929950378636763
inhibition,0.023187302975809673
BilogTTR,0.00799940886034773
conjunctNeighborSent,0.007055160048032808
perception,0.006057438016328085
emopos,-0.23043675664425023
inclusion,-0.1964343074877448
conjunctTypesToSent,-0.13884319055982658
POS_numConjunct,-0.12091286694025283
conjunctToWords,-0.10014983617271105
anxiete,-0.08818455872537131
certitude,-0.08105973513065332
conjunctToSent,-0.07484519571616996
conjunctTypesToTotal,-0.07318238773990526
DISC_RefExprPronounsPerSen,-0.07303551801138689
DISC_RefExprPerPronounsPerSen,-0.07303551801138689
POS_numProperNouns,-0.07197192146235033
DISC_RefExprPronounsPerWord,-0.06964252743093678
DISC_RefExprPerProPerWord,-0.06964252743093678
TTR,-0.06604451048057788
tentative,-0.06266530999896462
POS_numPronouns,-0.061869156985878165
POS_numPerPronouns,-0.061869156985878165
MTLD,-0.05897180680951336
DISC_RefExprProperNounsPerNoun,-0.058497958181805615
cognition,-0.05770497643166283
DISC_RefExprPronounsPerNoun,-0.05352106688505577
POS_advVar,-0.05313695136270793
POS_numFunctionWords,-0.050616985370357456
exclusion,-0.047786809921132004
POS_numAdverbs,-0.04480209488351433
POS_numVerbsVB,-0.04238987368582677
WPS,-0.03369646233655563
POS_numDeterminers,-0.028087473604969337
POS_numNouns,-0.027614691135765205
POS_nounVar,-0.024314898446402153
POS_modVar,-0.0179992723983264
localStemOverlapCount,-0.017428838368076623
conjunctNum,-0.015435400263674409
RootTTR,-0.01330012450179223
CorrectedTTR,-0.013300124501791239
POS_numLexicals,-0.0038155518530745315
localArgumentOverlapCount,-0.0004978155457458528
POS_numModals,
POS_numWhPronouns,
POS_numVerbsVBG,
POS_numVerbsVBP,
POS_numVerbsVBZ,
localNounOverlapCount,
globalNounOverlapCount,
Segment,
remplisseur,
Unnamed: 5,
Unnamed: 6,
Unnamed: 7,
Unnamed: 8,
Unnamed: 9,
Unnamed: 10,
Unnamed: 11,
Unnamed: 12,
Unnamed: 13,
Unnamed: 14,
Unnamed: 15,
Unnamed: 16,
Unnamed: 17,
Unnamed: 18,
Unnamed: 19,
Unnamed: 20,
Unnamed: 21,
Unnamed: 38,
Unnamed: 39,
Unnamed: 40,
Unnamed: 41,
Unnamed: 42,
DISC_RefExprPossProPerSen,
DISC_RefExprPossProPerWord,
DISC_RefExprDefArtPerSen,
DISC_RefExprDefArtPerWord,
