,Correlation
POS_numNouns,-0.014116982745854252
POS_numProperNouns,-0.028234895510171186
POS_numPronouns,-0.15352724433655582
POS_numConjunct,-0.0952896335345162
POS_numAdjectives,-0.02470471980524494
POS_numVerbs,0.03529245686463563
POS_numAdverbs,-0.01941149066324269
POS_numModals,
POS_numPrepositions,0.18352077569610525
POS_numInterjections,0.21036571534834805
POS_numPerPronouns,-0.15352724433655582
POS_numWhPronouns,
POS_numLexicals,0.03882298132648538
POS_numFunctionWords,-0.04940943961048988
POS_numDeterminers,-0.042350948237562754
POS_numVerbsVB,-0.04940943961048988
POS_numVerbsVBG,
POS_numVerbsVBN,0.1588160558908603
POS_numVerbsVBP,
POS_numVerbsVBZ,
POS_advVar,-0.029999576479556884
POS_adjVar,-0.029999576479556884
POS_modVar,-0.003529245686463563
POS_nounVar,0.017646809693856992
POS_verbVar1,0.29118195171185507
POS_verbVar2,0.042350948237562754
POS_squaredVerbVar1,0.1835268208161127
POS_correctedVV1,0.1835268208161127
localNounOverlapCount,
localArgumentOverlapCount,0.037071735464702146
localStemOverlapCount,0.012357652520941304
localContentWordOverlap,0.16234530157732388
globalNounOverlapCount,
globalArgumentOverlapCount,0.11293586196683401
globalStemOverlapCount,0.13058209039915183
globalContentWordOverlap,0.15528681020439677
TTR,-0.007059188955710162
CorrectedTTR,0.08118067299066686
RootTTR,0.08118067299066686
BilogTTR,0.09882864537994226
MTLD,-0.07764340510219839
conjunctToSent,-0.05824214653799409
conjunctTypesToSent,-0.10768811482534565
conjunctToWords,-0.07411415941573482
conjunctNum,0.005306467996615225
conjunctTypesToTotal,-0.11655343918488303
conjunctNeighborSent,-0.06212298270623339
Segment,
WC,0.06617482909352182
WPS,0.009189329077484019
BigWords,0.07902823006636257
emopos,-0.2003344330139803
emoneg,0.21873686393713873
anxiete,-0.007731585918262507
colère,0.1047888150298636
tristesse,0.2795785991903637
cognition,-0.001837865815496804
perspicacite,0.12499249367836499
cause,0.07535515370250635
divergence,0.0680154162743511
tentative,-0.0790393710024955
certitude,-0.045951503096942306
inhibition,0.05514374721104338
inclusion,-0.16731065087222105
exclusion,-0.005514180371633076
perception,0.10293862303436728
remplisseur,
Unnamed: 5,
Unnamed: 6,
Unnamed: 7,
Unnamed: 8,
Unnamed: 9,
Unnamed: 10,
Unnamed: 11,
Unnamed: 12,
Unnamed: 13,
Unnamed: 14,
Unnamed: 15,
Unnamed: 16,
Unnamed: 17,
Unnamed: 18,
Unnamed: 19,
Unnamed: 20,
Unnamed: 21,
Unnamed: 38,
Unnamed: 39,
Unnamed: 40,
Unnamed: 41,
Unnamed: 42,
DISC_RefExprPronounsPerNoun,-0.118237519786026
DISC_RefExprPronounsPerSen,-0.13237723852303127
DISC_RefExprPronounsPerWord,-0.1517575645179332
DISC_RefExprPerPronounsPerSen,-0.13237723852303127
DISC_RefExprPerProPerWord,-0.1517575645179332
DISC_RefExprPossProPerSen,
DISC_RefExprPossProPerWord,
DISC_RefExprDefArtPerSen,
DISC_RefExprDefArtPerWord,
DISC_RefExprProperNounsPerNoun,-0.02470471980524494
