,Correlation
POS_numInterjections,0.2328803655435383
inhibition,0.22617004634447105
perspicacite,0.20398291742520025
POS_verbVar1,0.195696254821319
DISC_RefExprPronounsPerWord,0.17679524154504891
DISC_RefExprPerProPerWord,0.17679524154504891
localContentWordOverlap,0.17571321715555532
POS_numPronouns,0.17076407800156584
POS_numPerPronouns,0.17076407800156584
perception,0.16986363032328108
POS_numFunctionWords,0.1668250121321306
tristesse,0.15619360481631314
emoneg,0.15463743836336308
DISC_RefExprPronounsPerNoun,0.15460564191292117
BilogTTR,0.14932987548641571
DISC_RefExprPronounsPerSen,0.14751113783547942
DISC_RefExprPerPronounsPerSen,0.14751113783547942
CorrectedTTR,0.12801658618291697
RootTTR,0.12801658618291692
POS_nounVar,0.11124182099407273
globalContentWordOverlap,0.11114100097186932
BigWords,0.09549875545318517
TTR,0.09079248436139643
POS_numPrepositions,0.08815637782074452
certitude,0.07534262783460773
WPS,0.06185450216744714
POS_numDeterminers,0.05047596754525778
cause,0.04467012616065397
POS_numNouns,0.04079507858325881
divergence,0.039658274855959394
colère,0.016579798313019378
tentative,-0.2629927761316761
POS_numLexicals,-0.20846216795521455
inclusion,-0.19258028912408853
emopos,-0.16826307194851622
POS_numVerbs,-0.1463568854015756
anxiete,-0.1357742022534999
POS_numVerbsVB,-0.11713135265307391
cognition,-0.10517526765512678
WC,-0.10232719203753697
exclusion,-0.09618926109987078
POS_verbVar2,-0.08185417291028539
localArgumentOverlapCount,-0.07084497868815523
POS_numAdverbs,-0.06401260215619393
conjunctTypesToSent,-0.06056242005772037
POS_numConjunct,-0.057077130948645
POS_numAdjectives,-0.053409372718627335
MTLD,-0.05296295648579494
conjunctTypesToTotal,-0.04896259426930606
POS_squaredVerbVar1,-0.04806058240939085
POS_numVerbsVBN,-0.04755927300770471
POS_correctedVV1,-0.04714865124810224
POS_modVar,-0.044341770327129354
POS_advVar,-0.039341853149564364
localStemOverlapCount,-0.03286120024077606
conjunctNum,-0.029770548770424864
POS_adjVar,-0.022856768925320226
conjunctToWords,-0.020130129942136067
conjunctToSent,-0.018733353735754694
DISC_RefExprProperNounsPerNoun,-0.014914207019218908
globalArgumentOverlapCount,-0.0104951840148512
conjunctNeighborSent,-0.008166347345061208
POS_numProperNouns,-0.007499508920135086
globalStemOverlapCount,-0.002068844756295411
POS_numModals,
POS_numWhPronouns,
POS_numVerbsVBG,
POS_numVerbsVBP,
POS_numVerbsVBZ,
localNounOverlapCount,
globalNounOverlapCount,
Segment,
remplisseur,
Unnamed: 5,
Unnamed: 6,
Unnamed: 7,
Unnamed: 8,
Unnamed: 9,
Unnamed: 10,
Unnamed: 11,
Unnamed: 12,
Unnamed: 13,
Unnamed: 14,
Unnamed: 15,
Unnamed: 16,
Unnamed: 17,
Unnamed: 18,
Unnamed: 19,
Unnamed: 20,
Unnamed: 21,
Unnamed: 38,
Unnamed: 39,
Unnamed: 40,
Unnamed: 41,
Unnamed: 42,
DISC_RefExprPossProPerSen,
DISC_RefExprPossProPerWord,
DISC_RefExprDefArtPerSen,
DISC_RefExprDefArtPerWord,
