,Correlation
POS_numNouns,0.06542654209926728
POS_numProperNouns,0.013774462574776838
POS_numPronouns,0.07403773633942551
POS_numConjunct,-0.010330506647252727
POS_numAdjectives,-0.09297455982527456
POS_numVerbs,-0.13774008863003637
POS_numAdverbs,-0.04993242683356604
POS_numModals,
POS_numPrepositions,0.15840110192454182
POS_numInterjections,0.216153341469371
POS_numPerPronouns,0.07403773633942551
POS_numWhPronouns,
POS_numLexicals,-0.1446318570351568
POS_numFunctionWords,0.23760165288681273
POS_numDeterminers,0.055096035452014545
POS_numVerbsVB,-0.14118359084578727
POS_numVerbsVBG,
POS_numVerbsVBN,0.055096035452014545
POS_numVerbsVBP,
POS_numVerbsVBZ,
POS_advVar,-0.020661693862165258
POS_adjVar,-0.07403773633942551
POS_modVar,-0.03443502215750909
POS_nounVar,0.12052654752929734
POS_verbVar1,0.18251764139089616
POS_verbVar2,-0.07920055096227091
POS_squaredVerbVar1,-0.024105309505859467
POS_correctedVV1,-0.024105309505859467
localNounOverlapCount,
localArgumentOverlapCount,-0.04822809727833566
localStemOverlapCount,-0.03617226536584495
localContentWordOverlap,0.05853953766776546
globalNounOverlapCount,
globalArgumentOverlapCount,0.05165253323626364
globalStemOverlapCount,0.06542654209926728
globalContentWordOverlap,0.04476552880476182
TTR,0.1515290714613024
CorrectedTTR,0.2066305519926851
RootTTR,0.2066305519926851
BilogTTR,0.22040592212553078
MTLD,-0.04132202658901091
conjunctToSent,-0.0034440694675817486
conjunctTypesToSent,-0.07406701955863489
conjunctToWords,0.010330506647252727
conjunctNum,0.013806791159739961
conjunctTypesToTotal,-0.07581450575041593
conjunctNeighborSent,0.058881877063724684
Segment,
WC,-0.09886412822695789
WPS,0.0071888515468958945
BigWords,0.11861605052378225
emopos,-0.12940388761042398
emoneg,0.11324037357678805
anxiete,-0.02268169808146554
colère,0.016767969422261456
tristesse,0.11118039805338539
cognition,-0.03594425773447947
perspicacite,0.1402023672855471
cause,0.035945524336228885
divergence,0.09167724135282594
tentative,-0.26782247084034
certitude,0.059314295603428116
inhibition,0.21210101717557128
inclusion,-0.18518471827082478
exclusion,-0.061111698500501695
perception,0.12223201308060248
remplisseur,
Unnamed: 5,
Unnamed: 6,
Unnamed: 7,
Unnamed: 8,
Unnamed: 9,
Unnamed: 10,
Unnamed: 11,
Unnamed: 12,
Unnamed: 13,
Unnamed: 14,
Unnamed: 15,
Unnamed: 16,
Unnamed: 17,
Unnamed: 18,
Unnamed: 19,
Unnamed: 20,
Unnamed: 21,
Unnamed: 38,
Unnamed: 39,
Unnamed: 40,
Unnamed: 41,
Unnamed: 42,
DISC_RefExprPronounsPerNoun,0.04993407170128291
DISC_RefExprPronounsPerSen,0.08610741117049953
DISC_RefExprPronounsPerWord,0.08264405317802181
DISC_RefExprPerPronounsPerSen,0.08610741117049953
DISC_RefExprPerProPerWord,0.08264405317802181
DISC_RefExprPossProPerSen,
DISC_RefExprPossProPerWord,
DISC_RefExprDefArtPerSen,
DISC_RefExprDefArtPerWord,
DISC_RefExprProperNounsPerNoun,0.003443502215750909
