,Correlation
POS_numNouns,-0.01827434711619518
POS_numProperNouns,-0.07310297332084302
POS_numPronouns,0.06700593942604899
POS_numConjunct,-0.03045724519365863
POS_numAdjectives,0.04264014327112209
POS_numVerbs,0.06700593942604899
POS_numAdverbs,0.11879233164636992
POS_numModals,
POS_numPrepositions,-0.12182898077463453
POS_numInterjections,0.338562905579357
POS_numPerPronouns,0.06700593942604899
POS_numWhPronouns,
POS_numLexicals,0.12182898077463453
POS_numFunctionWords,0.04264014327112209
POS_numDeterminers,-0.03045724519365863
POS_numVerbsVB,0.10355463365843935
POS_numVerbsVBG,
POS_numVerbsVBN,-0.04873159230985381
POS_numVerbsVBP,
POS_numVerbsVBZ,
POS_advVar,0.10964608269717108
POS_adjVar,0.05178127276893048
POS_modVar,0.04264014327112209
POS_nounVar,-0.07918883750351244
POS_verbVar1,0.1218382888680717
POS_verbVar2,0.03654869423239036
POS_squaredVerbVar1,0.09137871665105378
POS_correctedVV1,0.09137871665105378
localNounOverlapCount,
localArgumentOverlapCount,-0.027421997082347462
localStemOverlapCount,-0.07313091681535419
localContentWordOverlap,-0.15837767500702488
globalNounOverlapCount,
globalArgumentOverlapCount,0.14619477692956143
globalStemOverlapCount,0.09746318461970763
globalContentWordOverlap,-0.0913717355809759
TTR,0.158401878823932
CorrectedTTR,0.23760281823589802
RootTTR,0.23760281823589802
BilogTTR,0.2680647180097311
MTLD,-0.17665202212322006
conjunctToSent,-0.1523211393215397
conjunctTypesToSent,-0.13709950419890912
conjunctToWords,0.006091449038731727
conjunctNum,0.07026131141516971
conjunctTypesToTotal,0.0030485204726957943
conjunctNeighborSent,-0.07970811413304556
Segment,
WC,-0.15635422970142168
WPS,-0.2474988002164804
BigWords,-0.2474988002164804
emopos,-0.1400439179314401
emoneg,0.28662546078813084
anxiete,0.139615996486935
colère,0.15940854828113787
tristesse,0.2141604394087101
cognition,-0.026052505285945306
perspicacite,0.39078757928917957
cause,0.03256835300731165
divergence,0.03257652130230461
tentative,-0.0065142150179120645
certitude,-0.1986669533446011
inhibition,0.016286898927231425
inclusion,-0.31289161293198137
exclusion,-0.0846918744216034
perception,0.3517676109672515
remplisseur,
Unnamed: 5,
Unnamed: 6,
Unnamed: 7,
Unnamed: 8,
Unnamed: 9,
Unnamed: 10,
Unnamed: 11,
Unnamed: 12,
Unnamed: 13,
Unnamed: 14,
Unnamed: 15,
Unnamed: 16,
Unnamed: 17,
Unnamed: 18,
Unnamed: 19,
Unnamed: 20,
Unnamed: 21,
Unnamed: 38,
Unnamed: 39,
Unnamed: 40,
Unnamed: 41,
Unnamed: 42,
DISC_RefExprPronounsPerNoun,0.0913717355809759
DISC_RefExprPronounsPerSen,-0.09747063109445736
DISC_RefExprPronounsPerWord,0.06091449038731726
DISC_RefExprPerPronounsPerSen,-0.09747063109445736
DISC_RefExprPerProPerWord,0.06091449038731726
DISC_RefExprPossProPerSen,
DISC_RefExprPossProPerWord,
DISC_RefExprDefArtPerSen,
DISC_RefExprDefArtPerWord,
DISC_RefExprProperNounsPerNoun,-0.07309738846478071
