,Correlation
POS_numNouns,-0.032282468357306825
POS_numProperNouns,-0.22455199962035835
POS_numPronouns,0.08240528190264909
POS_numConjunct,-0.059416359240767776
POS_numAdjectives,0.00036076936048198886
POS_numVerbs,0.1474425108633823
POS_numAdverbs,-0.2692735003045182
POS_numModals,
POS_numPrepositions,-0.11739962628463205
POS_numInterjections,0.026567073296982154
POS_numPerPronouns,0.08240528190264909
POS_numWhPronouns,
POS_numLexicals,-0.17342171841304993
POS_numFunctionWords,-0.1269468860500424
POS_numDeterminers,0.27124202066555125
POS_numVerbsVB,0.24308734411544555
POS_numVerbsVBG,
POS_numVerbsVBN,-0.17748790370400438
POS_numVerbsVBP,
POS_numVerbsVBZ,
POS_advVar,-0.265790913757658
POS_adjVar,0.02302837915806157
POS_modVar,-0.1907099434494541
POS_nounVar,0.03949845451529049
POS_verbVar1,0.006267834765690679
POS_verbVar2,0.19572172501952353
POS_squaredVerbVar1,0.1299894256210293
POS_correctedVV1,0.1407941443122448
localNounOverlapCount,
localArgumentOverlapCount,0.15204028547078824
localStemOverlapCount,0.11852351437208344
localContentWordOverlap,0.024553981906219303
globalNounOverlapCount,
globalArgumentOverlapCount,-0.001527040328976015
globalStemOverlapCount,-0.021754663492563497
globalContentWordOverlap,0.07011024895650672
TTR,-0.0543113256638593
CorrectedTTR,-0.019486359084704818
RootTTR,-0.019486359084702712
BilogTTR,-0.011903933763032925
MTLD,0.32117137631728593
conjunctToSent,-0.009103469402507433
conjunctTypesToSent,0.10741525573663283
conjunctToWords,-0.05351743564991053
conjunctNum,-0.042584562188959244
conjunctTypesToTotal,0.1546072717409438
conjunctNeighborSent,0.0358909303429169
Segment,
WC,0.01539909746922126
WPS,0.1979354769265448
BigWords,0.1568881354426505
emopos,0.027159391989603425
emoneg,-0.08339002646749004
anxiete,0.22053115784878352
colère,0.06109192836611902
tristesse,-0.21724017122602188
cognition,0.11202885411388017
perspicacite,-0.12439644187004115
cause,0.14138366361603863
divergence,0.032444479442983384
tentative,-0.12335878344190779
certitude,0.024166233994078058
inhibition,0.2185880272755948
inclusion,0.1050878538150591
exclusion,-0.08136499096719194
perception,-0.10563182922172915
remplisseur,
Unnamed: 5,
Unnamed: 6,
Unnamed: 7,
Unnamed: 8,
Unnamed: 9,
Unnamed: 10,
Unnamed: 11,
Unnamed: 12,
Unnamed: 13,
Unnamed: 14,
Unnamed: 15,
Unnamed: 16,
Unnamed: 17,
Unnamed: 18,
Unnamed: 19,
Unnamed: 20,
Unnamed: 21,
Unnamed: 38,
Unnamed: 39,
Unnamed: 40,
Unnamed: 41,
Unnamed: 42,
DISC_RefExprPronounsPerNoun,0.04817784857041457
DISC_RefExprPronounsPerSen,0.17888071989876395
DISC_RefExprPronounsPerWord,0.10647503381897049
DISC_RefExprPerPronounsPerSen,0.17888071989876395
DISC_RefExprPerProPerWord,0.10647503381897049
DISC_RefExprPossProPerSen,
DISC_RefExprPossProPerWord,
DISC_RefExprDefArtPerSen,
DISC_RefExprDefArtPerWord,
DISC_RefExprProperNounsPerNoun,-0.23349522460580488
