,Correlation
POS_numNouns,-0.06546491378032557
POS_numProperNouns,-0.29534221717728654
POS_numPronouns,-0.005845274122785722
POS_numConjunct,-0.09359923982163214
POS_numAdjectives,-0.028446063725974798
POS_numVerbs,0.1185382545950895
POS_numAdverbs,-0.21339147397583075
POS_numModals,
POS_numPrepositions,-0.12640963113296197
POS_numInterjections,0.005262037142272581
POS_numPerPronouns,-0.005845274122785722
POS_numWhPronouns,
POS_numLexicals,-0.12999889649075444
POS_numFunctionWords,-0.13568382725184144
POS_numDeterminers,0.25492349163743444
POS_numVerbsVB,0.19522572502347088
POS_numVerbsVBG,
POS_numVerbsVBN,-0.2512605738425829
POS_numVerbsVBP,
POS_numVerbsVBZ,
POS_advVar,-0.20442872032089263
POS_adjVar,-0.021978230701674314
POS_modVar,-0.15781720286328485
POS_nounVar,0.03522751871332195
POS_verbVar1,-0.015743790250241304
POS_verbVar2,0.12329225428627981
POS_squaredVerbVar1,0.23583732660732792
POS_correctedVV1,0.23583732660732792
localNounOverlapCount,
localArgumentOverlapCount,0.13643917623252663
localStemOverlapCount,0.07773391030410999
localContentWordOverlap,0.00023380326350116271
globalNounOverlapCount,
globalArgumentOverlapCount,0.0780123555882213
globalStemOverlapCount,0.03686298121201666
globalContentWordOverlap,0.028913670252977124
TTR,-0.06695228394773614
CorrectedTTR,-0.06352283052084395
RootTTR,-0.06352283052084395
BilogTTR,-0.05666392366705957
MTLD,0.24596103320322318
conjunctToSent,-0.027281540785883285
conjunctTypesToSent,0.13504025340693931
conjunctToWords,-0.09071566623845113
conjunctNum,-0.045465785274579916
conjunctTypesToTotal,0.12081197730755588
conjunctNeighborSent,-0.0230467134789666
Segment,
WC,0.019460684195448105
WPS,0.1637267098420715
BigWords,0.11976928209699789
emopos,0.04017665558224156
emoneg,-0.05522772727662953
anxiete,0.3343522991122018
colère,0.0308441128885902
tristesse,-0.10492705908550484
cognition,0.1499427363235398
perspicacite,-0.10490746368528714
cause,0.12742219636543559
divergence,0.08738701647626314
tentative,-0.09397960288473639
certitude,0.033833145785235164
inhibition,0.19300283383126543
inclusion,0.15319597364236576
exclusion,-0.03433749081557407
perception,-0.09364666174397059
remplisseur,
Unnamed: 5,
Unnamed: 6,
Unnamed: 7,
Unnamed: 8,
Unnamed: 9,
Unnamed: 10,
Unnamed: 11,
Unnamed: 12,
Unnamed: 13,
Unnamed: 14,
Unnamed: 15,
Unnamed: 16,
Unnamed: 17,
Unnamed: 18,
Unnamed: 19,
Unnamed: 20,
Unnamed: 21,
Unnamed: 38,
Unnamed: 39,
Unnamed: 40,
Unnamed: 41,
Unnamed: 42,
DISC_RefExprPronounsPerNoun,0.01184681246552811
DISC_RefExprPronounsPerSen,0.11856559500574536
DISC_RefExprPronounsPerWord,0.0395127515316965
DISC_RefExprPerPronounsPerSen,0.11856559500574536
DISC_RefExprPerProPerWord,0.0395127515316965
DISC_RefExprPossProPerSen,
DISC_RefExprPossProPerWord,
DISC_RefExprDefArtPerSen,
DISC_RefExprDefArtPerWord,
DISC_RefExprProperNounsPerNoun,-0.2864869322100914
