Slice,Metric,Value,,
beginning,MAE,12.1599717873879,,$12.16$&
beginning,MSE,205.821377109241,,$205.82$&
beginning,RMSE,14.3464761216558,,$14.35$&
beginning,MAPE,19.9073872362656,,$19.91$&
beginning,R2,-1.65296438227407,,$-1.65$&
beginning,Adjusted_R2,-1.95172163253016,,
beginning,MPE,2.06391476997701,,$2.06$&
beginning,MedAE,11.8410488840643,,$11.84$&
beginning,Theils_U,0.226410535263376,,
beginning,Cochran_Q,2.65296438227407,,
end,MAE,13.576825222746,,$13.58$&
end,MSE,262.802161901364,,$262.80$&
end,RMSE,16.2111739828232,,$16.21$&
end,MAPE,24.7891368578313,,$24.79$&
end,R2,-1.75426321876907,,$-1.75$&
end,Adjusted_R2,-2.06442799565747,,
end,MPE,-12.0258319408413,,$-12.03$&
end,MedAE,12.1737453808909,,$12.17$&
end,Theils_U,0.265029968742697,,
end,Cochran_Q,2.75426321876907,,
full,MAE,10.6897170334605,,$10.69$&
full,MSE,213.582547785116,,$213.58$&
full,RMSE,14.6144636502718,,$14.61$&
full,MAPE,16.7911327563626,,$16.79$&
full,R2,-1.38060701757947,,$-1.38$&
full,Adjusted_R2,-1.64869339343301,,
full,MPE,1.02741904989636,,$1.03$&
full,MedAE,7.47387157188065,,$7.47$&
full,Theils_U,0.206279720087457,,
full,Cochran_Q,2.38060701757947,,
middle,MAE,13.1967074001222,,$13.20$&
middle,MSE,254.884076623516,,$254.88$&
middle,RMSE,15.9650893083476,,$15.97$&
middle,MAPE,24.2658161554481,,$24.27$&
middle,R2,-1.62388653823761,,$-1.62$&
middle,Adjusted_R2,-1.91936925650762,,
middle,MPE,-3.7152407245073,,$-3.72$&
middle,MedAE,12.0754500232924,,$12.08$&
middle,Theils_U,0.254921316995305,,
middle,Cochran_Q,2.62388653823761,,
