,Test-1,,,Test-2,,,Test-3,,,,,
llama2,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,,,
p-1,full,MAE,0.8622380192747722,full,MAE,0.8305265923797435,full,MAE,0.8499700603869651,,0.847578224013827,$0.85$&
all,full,MSE,1.0227165919032706,full,MSE,0.9676102582715431,full,MSE,1.022318140216621,,1.00421499679714,$1.00$&
,full,RMSE,1.0112945129403554,full,RMSE,0.9836718244778302,full,RMSE,1.0110974929336047,,1.00202127678393,$1.00$&
,full,MAPE,20.687075324764457,full,MAPE,19.935834455708747,full,MAPE,20.405135000459676,,20.3426815936443,$20.34$&
,full,R2,-3.1169787260617188,full,R2,-2.8951463973118012,full,R2,-3.1153747459070145,,-3.04249995642684,$-3.04$&
,,,,,,,,,,,,
,,,,,,,,,,,,
,full,MedAE,0.835140652479825,full,MedAE,0.7723066123600499,full,MedAE,0.7969285832981701,,0.801458616046015,$0.80$&
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,0,$0.00$&
llama2,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,,Err:502,Err:502
p-1,full,MAE,1.0020245993792998,full,MAE,0.8508661110134166,full,MAE,0.9671945185619464,,0.940028409651554,$0.94$&
test,full,MSE,1.2265906786059553,full,MSE,0.925200434930246,full,MSE,1.2044619963243597,,1.11875103662019,$1.12$&
,full,RMSE,1.1075155432796215,full,RMSE,0.9618733985978851,full,RMSE,1.0974798386869618,,1.05562292685482,$1.06$&
,full,MAPE,23.89839522901325,full,MAPE,20.081060113411116,full,MAPE,22.901733021751177,,22.2937294547252,$22.29$&
,full,R2,-3.840830576572259,full,R2,-2.5461952476981553,full,R2,-3.637479331855844,,-3.34150171870875,$-3.34$&
,,,,,,,,,,,0,$0.00$&
,,,,,,,,,,,0,$0.00$&
,full,MedAE,1.0,full,MedAE,0.6968455021364699,full,MedAE,1.0,,0.898948500712157,$0.90$&
,,,,,,,,,,,0,$0.00$&
,,,,,,,,,,,0,$0.00$&
mistral,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,,Err:502,Err:502
p-1,full,MAE,0.7959860040740907,full,MAE,0.7970395805865494,full,MAE,0.7571062008846899,,0.783377261848444,$0.78$&
all,full,MSE,1.1593073037238197,full,MSE,1.2049146698586035,full,MSE,1.1226897498733903,,1.1623039078186,$1.16$&
,full,RMSE,1.0767113372319528,full,RMSE,1.0976860525025376,full,RMSE,1.0595705497386148,,1.0779893131577,$1.08$&
,full,MAPE,20.320628966138678,full,MAPE,20.159449278485837,full,MAPE,19.271967150120215,,19.9173484649149,$19.92$&
,full,R2,-3.666829055268086,full,R2,-3.850422983063062,full,R2,-3.5194239076483678,,-3.67889198199317,$-3.68$&
,,,,,,,,,,,,
,,,,,,,,,,,,
,full,MedAE,0.6154582032637801,full,MedAE,0.5747040008096946,full,MedAE,0.5317954769654802,,0.573985893679652,$0.57$&
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,0,$0.00$&
mistral,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,,Err:502,Err:502
p-1,full,MAE,0.5516335373968398,full,MAE,0.5970367891400723,full,MAE,0.6026917416763113,,0.583787356071075,$0.58$&
test,full,MSE,0.4622585491134166,full,MSE,0.5614482524220836,full,MSE,0.5404218687399516,,0.521376223425151,$0.52$&
,full,RMSE,0.6798959840397769,full,RMSE,0.74929850688633,full,RMSE,0.7351339121139437,,0.72144280101335,$0.72$&
,full,MAPE,14.079045880473668,full,MAPE,15.23703738622564,full,MAPE,15.451965658998962,,14.9226829752328,$14.92$&
,full,R2,-0.8120187264672318,full,R2,-1.200834899175668,full,R2,-1.1184130574271878,,-1.04375556102336,$-1.04$&
,,,,,,,,,,,0,$0.00$&
,,,,,,,,,,,0,$0.00$&
,full,MedAE,0.4440972086577899,full,MedAE,0.4440972086577899,full,MedAE,0.4440972086577899,,0.44409720865779,$0.44$&
