ID,category,rater,score,Unnamed: 2,Unnamed: 3,Unnamed: 4
hes07,full,1,4.0,,,
hes06,full,1,4.0,,,
hes04,full,1,4.0,,,
hes05,full,1,4.0,,,
hes01,full,1,2.0,,,
hes08,full,1,5.0,,,
hes02,full,1,4.0,,,
hes03,full,1,5.0,,,
bfc03,full,1,4.0,,,
bfc07,full,1,4.0,,,
bfc08,full,1,4.0,,,
bfc06,full,1,5.0,,,
bfc10,full,1,4.0,,,
bfc09,full,1,4.0,,,
bfc04,full,1,4.0,,,
bfc02,full,1,4.0,,,
bfc01,full,1,4.0,,,
bfc05,full,1,4.0,,,
ups01,full,1,4.0,,,
ups10,full,1,4.0,,,
ups09,full,1,4.0,,,
ups12,full,1,4.0,,,
ups03,full,1,4.0,,,
ups02,full,1,4.0,,,
ups13,full,1,4.0,,,
ups04,full,1,4.0,,,
ups07,full,1,5.0,,,
ups14,full,1,4.0,,,
ups11,full,1,4.0,,,
ups05,full,1,4.0,,,
ups08,full,1,4.0,,,
ups15,full,1,5.0,,,
ups06,full,1,4.0,,,
bod04,full,1,5.0,,,
bod14,full,1,4.0,,,
bod08,full,1,2.0,,,
bod10,full,1,4.0,,,
bod01,full,1,4.0,,,
bod07,full,1,4.0,,,
bod11,full,1,3.0,,,
bod13,full,1,4.0,,,
bod16,full,1,4.0,,,
bod05,full,1,4.0,,,
bod09,full,1,4.0,,,
bod03,full,1,4.0,,,
bod02,full,1,4.0,,,
bod12,full,1,4.0,,,
bod06,full,1,4.0,,,
bod15,full,1,5.0,,,
lor04,full,1,3.0,,,
lor01,full,1,4.0,,,
lor03,full,1,4.0,,,
lor09,full,1,4.0,,,
lor02,full,1,4.0,,,
lor07,full,1,4.0,,,
lor10,full,1,4.0,,,
lor08,full,1,4.0,,,
lor05,full,1,4.0,,,
lor06,full,1,4.0,,,
amu05,full,1,4.0,,,
amu11,full,1,4.0,,,
amu08,full,1,4.0,,,
amu04,full,1,4.0,,,
amu06,full,1,3.0,,,
amu07,full,1,5.0,,,
amu03,full,1,4.0,,,
amu01,full,1,5.0,,,
amu02,full,1,2.0,,,
amu10,full,1,4.0,,,
amu09,full,1,4.0,,,
spc10,full,1,4.0,,,
spc04,full,1,4.0,,,
spc09,full,1,3.0,,,
spc07,full,1,3.0,,,
spc05,full,1,4.0,,,
spc02,full,1,4.0,,,
spc03,full,1,4.0,,,
spc12,full,1,4.0,,,
spc08,full,1,4.0,,,
spc11,full,1,4.0,,,
spc06,full,1,5.0,,,
spc01,full,1,5.0,,,
nor12,full,1,5.0,,,
nor06,full,1,4.0,,,
nor09,full,1,4.0,,,
nor08,full,1,5.0,,,
nor01,full,1,4.0,,,
nor07,full,1,4.0,,,
nor10,full,1,4.0,,,
nor02,full,1,4.0,,,
nor03,full,1,2.0,,,
nor04,full,1,5.0,,,
nor11,full,1,4.0,,,
nor05,full,1,2.0,,,
,full,1,5.0,,,
,full,1,4.0,,,
ocm06,full,1,5.0,,,
ocm14,full,1,5.0,,,
ocm20,full,1,4.0,,,
ocm02,full,1,4.0,,,
ocm03,full,1,4.5,,,
ocm10,full,1,4.0,,,
ocm08,full,1,4.0,,,
ocm16,full,1,3.0,,,
ocm04,full,1,4.0,,,
ocm19,full,1,3.0,,,
ocm12,full,1,4.0,,,
ocm13,full,1,4.0,,,
ocm17,full,1,4.0,,,
ocm09,full,1,3.0,,,
ocm05,full,1,5.0,,,
ocm18,full,1,4.0,,,
ocm07,full,1,4.0,,,
ocm01,full,1,5.0,,,
ocm11,full,1,5.0,,,
ocm15,full,1,4.0,,,
ant01,full,1,4.0,,,
ant02,full,1,4.0,,,
als11,full,1,5.0,,,
als02,full,1,4.0,,,
als08,full,1,4.0,,,
als06,full,1,4.0,,,
als01,full,1,5.0,,,
als04,full,1,4.0,,,
als03,full,1,4.0,,,
als05,full,1,4.0,,,
als07,full,1,4.0,,,
als09,full,1,4.0,,,
cvl03,full,1,4.0,,,
cvl04,full,1,4.0,,,
cvl01,full,1,4.0,,,
cvl02,full,1,4.0,,,
sou05,full,1,4.0,,,
sou02,full,1,4.0,,,
sou16,full,1,4.0,,,
sou06,full,1,4.0,,,
sou03,full,1,4.0,,,
sou12,full,1,4.0,,,
sou14,full,1,5.0,,,
sou13,full,1,4.0,,,
sou09,full,1,3.0,,,
sou08,full,1,5.0,,,
sou04,full,1,4.0,,,
sou10,full,1,4.0,,,
sou15,full,1,4.0,,,
sou01,full,1,4.0,,,
sou07,full,1,4.0,,,
gre05,full,1,5.0,,,
gre02,full,1,4.0,,,
gre10,full,1,4.0,,,
gre15,full,1,4.0,,,
gre03,full,1,4.0,,,
gre06,full,1,4.0,,,
gre08,full,1,3.0,,,
gre04,full,1,4.0,,,
,full,1,4.0,,,
,full,1,4.0,,,
gre13,full,1,4.0,,,
gre11,full,1,5.0,,,
gre07,full,1,4.0,,,
gre12,full,1,4.0,,,
lyo01,full,1,4.0,,,
lyo06,full,1,4.0,,,
lyo02,full,1,4.0,,,
lyo12,full,1,4.0,,,
lyo11,full,1,5.0,,,
lyo14,full,1,4.0,,,
lyo09,full,1,4.0,,,
lyo04,full,1,2.0,,,
lyo13,full,1,4.0,,,
lyo03,full,1,4.0,,,
lyo08,full,1,4.0,,,
lyo10,full,1,4.0,,,
lyo07,full,1,4.0,,,
lyo05,full,1,4.0,,,
