,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,,,
llama2,full,MAE,1.0261945277593043,full,MAE,0.968021005455518,full,MAE,0.8910367529755165,,0.961733333333333,$0.96$&
p-4,full,MSE,1.365676905342683,full,MSE,1.3102202812643398,full,MSE,1.06130427077986,,1.24573333333333,$1.25$&
test,full,RMSE,1.1686217973932724,full,RMSE,1.1446485404980604,full,RMSE,1.030196229259193,,1.11446666666667,$1.11$&
,full,MAPE,24.290520176433258,full,MAPE,22.21477589322642,full,MAPE,21.514477002686526,,22.6732666666667,$22.67$&
,full,R2,-4.353350698501846,full,R2,-5.678093755961367,full,R2,-3.2912517590939263,,-4.44093333333333,$-4.44$&
,full,Adjusted_R2,-11.397233196530593,full,Adjusted_R2,-14.953223972574376,full,Adjusted_R2,-9.996332632678186,,-12.1155666666667,$-12.12$&
,full,MPE,19.368179372467704,full,MPE,20.021630894528524,full,MPE,14.111471665625366,,17.8337666666667,$17.83$&
,full,MedAE,1.0,full,MedAE,0.8987061235527352,full,MedAE,0.6968455021364699,,0.865166666666667,$0.87$&
,full,Theils_U,0.27831049255886725,full,Theils_U,0.270623277533469,full,Theils_U,0.24750179935978614,,0.265466666666667,$0.27$&
,full,Cochran_Q,5.353350698501846,full,Cochran_Q,6.678093755961367,full,Cochran_Q,4.291251759093926,,5.44093333333333,$5.44$&
,,,,,,,,,,,0,$0.00$&
,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,,#VALUE!,#VALUE!
mistral,full,MAE,0.8177702991631475,full,MAE,0.8781245718080812,full,MAE,0.7344688378595317,,0.810133333333333,$0.81$&
p-4,full,MSE,1.1848331286371923,full,MSE,1.3062152673895209,full,MSE,0.8475434758056272,,1.11283333333333,$1.11$&
test,full,RMSE,1.0885004035999217,full,RMSE,1.1428977501900688,full,RMSE,0.9206212444896257,,1.05066666666667,$1.05$&
,full,MAPE,19.92835748056173,full,MAPE,22.317799085639386,full,MAPE,18.333861025262852,,20.1933666666667,$20.19$&
,full,R2,-3.4792393545840685,full,R2,-4.216931838200063,full,R2,-2.3544852011267565,,-3.3502,$-3.35$&
,full,Adjusted_R2,-31.474485320734495,full,Adjusted_R2,-22.848831260343143,full,Adjusted_R2,-8.344637345995965,,-20.8893,$-20.89$&
,full,MPE,0.10109870021579898,full,MPE,-4.359924278267548,full,MPE,-0.8456580228826943,,-1.7015,$-1.70$&
,full,MedAE,0.5559027913422101,full,MedAE,0.60977222864644,full,MedAE,0.5519251309037752,,0.572533333333333,$0.57$&
,full,Theils_U,0.2587271241709348,full,Theils_U,0.26925140738070286,full,Theils_U,0.21781337623583588,,0.2486,$0.25$&
,full,Cochran_Q,4.4792393545840685,full,Cochran_Q,5.216931838200063,full,Cochran_Q,3.3544852011267565,,4.3502,$4.35$&
