,Test-1,,,Test-2,,,Test-3,,,,,
llama3,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,,,
full,full,MAE,0.5134165465968105,full,MAE,0.6000040570333041,full,MAE,0.534921901252149,,0.549433333333333,$0.55$&
p-4,full,MSE,0.3908333646173897,full,MSE,0.6027577225253768,full,MSE,0.47807745866805074,,0.490566666666667,$0.49$&
,full,RMSE,0.6251666694709417,full,RMSE,0.7763747307359874,full,RMSE,0.6914314562326845,,0.697666666666667,$0.70$&
,full,MAPE,12.72619142227426,full,MAPE,14.785040250049155,full,MAPE,13.337676667432591,,13.6163,$13.62$&
,full,R2,-0.5320373781581427,full,R2,-1.3398606618828612,full,R2,-0.8040776086824659,,-0.892,$-0.89$&
,full,Adjusted_R2,-2.5478760336293833,full,Adjusted_R2,-4.995892946074832,full,Adjusted_R2,-3.622948872248819,,-3.72223333333333,$-3.72$&
,full,MPE,4.585166820130471,full,MPE,6.305146909553855,full,MPE,4.826006119985279,,5.23876666666667,$5.24$&
,full,MedAE,0.4440972086577899,full,MedAE,0.4440972086577899,full,MedAE,0.4440972086577899,,0.4441,$0.44$&
,full,Theils_U,0.14888516036578078,full,Theils_U,0.18409234756269935,full,Theils_U,0.1646502440835305,,0.1659,$0.17$&
,full,Cochran_Q,1.5320373781581427,full,Cochran_Q,2.3398606618828612,full,Cochran_Q,1.804077608682466,,1.892,$1.89$&
,,,,,,,,,,,,
,,,,,,,,,,,,
llama3,,,,,,,,,,,,
full,,,,,,,,,,,,
p-4,,,,,,,,,,,,
