,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llama3,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,,,,,,,,,,,,,,,,
,full,MAE,0.5754850836487235,full,MAE,0.5766863899067001,full,MAE,0.6051694651120916,full,MAE,0.604524450287728,full,MAE,0.4798952377763339,full,MAE,0.6194599583771304,full,MAE,0.6064442384622956,full,MAE,0.5834491210697792,,,0.5813875,$0.58$&,,,,,,,,,,,,
all,full,MSE,0.601185386471796,full,MSE,0.6084152836131133,full,MSE,0.7441650010820899,full,MSE,0.754804188360931,full,MSE,0.431115319390207,full,MSE,0.7044438440479195,full,MSE,0.638610354232998,full,MSE,0.62089833323806,,,0.63795,$0.64$&,,,,,,,,,,,,
,full,RMSE,0.7753614553689111,full,RMSE,0.7800097971263651,full,RMSE,0.8626499875859791,full,RMSE,0.8687946756057676,full,RMSE,0.6565937247569512,full,RMSE,0.8393115297956532,full,RMSE,0.799130999419368,full,RMSE,0.7879710230954309,,,0.796225,$0.80$&,,,,,,,,,,,,
,full,MAPE,14.638773350022138,full,MAPE,14.639003794701896,full,MAPE,15.256874148513738,full,MAPE,15.085158243360283,full,MAPE,12.27047641955785,full,MAPE,15.523505022731266,full,MAPE,15.217585196562094,full,MAPE,14.66844202288077,,,14.6624875,$14.66$&,,,,,,,,,,,,
,full,R2,-1.2701805918907145,full,R2,-1.322374021966056,full,R2,-1.8335737202653082,full,R2,-1.87667465222315,full,R2,-0.6405240179833405,full,R2,-1.6425089635034977,full,R2,-1.4544467511090082,full,R2,-1.4005283536462572,,,-1.4301,$-1.43$&,,,,,,,,,,,,
,full,Adjusted_R2,-1.5612293857228572,full,Adjusted_R2,-1.614129552363802,full,Adjusted_R2,-2.2025286317581867,full,Adjusted_R2,-2.2473801486436593,full,Adjusted_R2,-0.8466200001420516,full,Adjusted_R2,-1.9830384691096183,full,Adjusted_R2,-1.7659247652091365,full,Adjusted_R2,-1.709874790971806,,,-1.741325,$-1.74$&,,,,,,,,,,,,
,full,MPE,0.756452088311125,full,MPE,0.2062134321990156,full,MPE,5.479788399836275,full,MPE,5.685996073685457,full,MPE,2.4845342485538344,full,MPE,6.285685114550028,full,MPE,6.113896150758998,full,MPE,6.147932480853415,,,4.1450625,$4.15$&,,,,,,,,,,,,
,full,MedAE,0.4409739159895598,full,MedAE,0.4158804331639203,full,MedAE,0.4298971737906603,full,MedAE,0.4169457678461552,full,MedAE,0.3588989435406704,full,MedAE,0.4440972086577899,full,MedAE,0.4440972086577899,full,MedAE,0.4378427406031251,,,0.423575,$0.42$&,,,,,,,,,,,,
,full,Theils_U,0.18771996762785484,full,Theils_U,0.1888226031727356,full,Theils_U,0.20847232750426786,full,Theils_U,0.21013853228162627,full,Theils_U,0.1588670972995048,full,Theils_U,0.20293539584226603,full,Theils_U,0.19335500656378007,full,Theils_U,0.19100467677852334,,,0.1926625,$0.19$&,,,,,,,,,,,,
,full,Cochran_Q,2.2701805918907145,full,Cochran_Q,2.322374021966056,full,Cochran_Q,2.833573720265308,full,Cochran_Q,2.87667465222315,full,Cochran_Q,1.6405240179833405,full,Cochran_Q,2.6425089635034977,full,Cochran_Q,2.4544467511090082,full,Cochran_Q,2.400528353646257,,,2.4301,$2.43$&,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,p-4,,,,,,,,,,,,,,,,,,,,,
llama3,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,,,,
test,full,MAE,0.5734235582963945,full,MAE,0.5995758924471309,full,MAE,0.5734235582963945,full,MAE,0.5833269175393624,full,MAE,0.5813670415990162,full,MAE,0.5209644954120944,full,MAE,0.5134165465968105,full,MAE,0.6000040570333041,full,MAE,0.534921901252149,full,MAE,0.6089330550572367,full,MAE,0.6398497050847775,full,MAE,0.5762103473488677,,,0.575441666666667,$0.58$&
,full,MSE,0.5305535639041536,full,MSE,0.5947846717422729,full,MSE,0.5305535639041536,full,MSE,0.4781333335540054,full,MSE,0.48698992834157145,full,MSE,0.3760715829823501,full,MSE,0.3908333646173897,full,MSE,0.6027577225253768,full,MSE,0.47807745866805074,full,MSE,0.6060040304870218,full,MSE,0.6382918140867427,full,MSE,0.49815935181627097,,,0.517616666666667,$0.52$&
