ID,perception
SPC01,1.73
GRE13,2.55
BRE13,3.03
UPL02,2.13
UPS01,0.6
BOD02,2.83
BFC10,2.68
UCA12,0.17
UCA07,0
LOR02,5.33
ALS08,2.82
BRE04,1.91
SPC09,2.86
OCM11,3.38
LRE07,2.17
OCM02,1.95
LOR05,2.55
ALS07,2.23
UPL01,1.2
SPC06,3.48
UPS10,4.72
UPS03,2.75
UCA08,6.47
LRE06,2.3
BOD05,2.18
BOD10,1.73
PES02,0.95
LYO11,2.48
BFC01,1.64
OCM20,0.21
CFE01,1.71
UCA15,0.28
UCA14,0
UCA01,0
nOR01,1.1
LOR10,1.69
CFE08,1.42
OCM01,3.03
LYO03,1.83
LRE03,1.14
PES01,2.01
LRE02,1.09
LOR07,1.85
GRE08,2.26
UPS13,2.35
CFE03,1.87
HES05,3.02
PES03,1.83
SPC12,1.22
SPC07,4.36
ALS06,1.87
LDV01,2.74
BOD11,3.43
BOD04,1.73
CFE09,1.25
GRE09,2.49
UCA09,0
BRE01,1.23
UCA06,0
UCA13,0
UPS02,1.3
LDV06,1.19
GRE11,1.54
CFE11,1.15
SPC08,2.31
ALS09,2.19
GRE10,2.19
ALS01,2.25
HES06,3.87
CFE05,2.09
PES05,2.29
BOD03,2.89
BOD16,3.89
nOR12,2.07
GRE15,4.86
nOR11,3.78
LDV10,1.46
OCM17,2.74
OCM18,1.7
GRE06,2
LDV05,1.72
UCA04,0
UCA11,0
LRE11,1.9
BOD09,1.62
UPS08,4.32
BFC07,3.54
CFE07,0.91
GRE05,1.95
BOD01,2.09
BOD14,2.23
OCM12,1.08
POF02,2.29
LYO13,2.5
SPC02,1.74
ALS03,1.13
nOR09,2.78
BRE14,3.16
LYO12,1.99
PES04,2.86
CFE06,2.21
UCA03,7.2
HES08,3.67
BOD13,1.44
BOD06,2.86
BFC09,1.64
BRE08,3.09
LYO01,5.24
ALS04,1.15
ALS11,2.24
BRE06,2.14
SPC10,3.12
SPC05,2.55
PES10,1.83
OCM15,4.17
BOD07,3.66
BOD12,2.57
SPC04,1.86
SPC11,2.54
BRE11,1.57
ALS10,2.17
ALS05,2.54
LOR01,1.6
UPS14,4.1
UCA02,1.28
POF01,1.73
LYO06,2.84
OCM03,2.52
OCM06,2
BOD15,1.44
ALS02,3.3
SPC03,0.45
CFE10,2.7
OCM19,1.94
LOR03,1.45
OCM07,1.21
LYO08,1.49
LYO02,1.51
OCM10,2.1
BOD08,2.19
UCA10,0
UCA05,0
GRE12,1.93
SOU08,0.86
UPS04,1.77
nOR02,1.48
nOR07,1.83
UPS09,1.02
SOU15,5.55
LRE01,1.49
HES01,2.21
nOR08,2.08
LYO07,5.01
LDV04,3.28
BFC05,3.08
BRE12,0.27
nOR05,1.89
OCM08,1.1
LDV07,2.06
OCM14,2.72
BFC04,2.73
BFC06,1.43
SOU12,2.08
SOU07,2.99
UPS05,1.46
PES11,2.8
SOU06,3.69
SOU13,2.28
OCM16,2.66
AnT02,1.81
LDV08,2.92
PES09,1.8
CVL03,1.09
nOR06,3.75
LOR04,2.26
CVL02,3.15
POF04,1.93
BFC02,1.41
POF05,1.29
UPS12,1.54
BRE09,2.18
LYO10,1.6
CFE02,2.76
BRE05,2.09
SOU14,1.23
SOU01,2.03
SOU09,0.49
LOR09,2.02
GRE04,3.11
CFE04,2.09
LRE08,1.88
BFC08,2.23
LYO04,1.32
LRE09,2.71
SOU16,1.89
SOU03,1.43
AnT02,1.17
GRE14,3.89
LDV03,2.29
UPS07,1.94
AnT01,2.84
LYO05,2.21
BRE15,2.67
BRE07,2.22
LOR06,1.68
HES04,1.88
UPS06,1.95
POF03,3.13
OCM13,1.91
SOU04,5.11
SOU11,4.42
LRE10,1.92
AnT01,2.21
nOR04,2.47
HES02,2.46
CVL04,2.81
BRE03,2.47
GRE07,1.93
OCM05,3.29
BRE16,1.2
PES08,2.29
GRE03,1.86
SOU10,2.3
SOU05,1.66
GRE02,3.9
PES06,2.05
nOR03,1.37
UPS11,1.61
PES07,0.84
BRE02,1.71
nOR10,3.1
HES07,3.29
LDV09,2.66
OCM09,1.39
LRE05,0.19
BFC03,0.89
LRE04,1.49
BRE10,1.84
HES03,2.89
CVL01,2.9
LDV02,1.53
UPS15,2.98
LYO14,2.27
LOR08,1.72
LYO09,1.88
SOU02,3.72
GRE01,1.82
OCM04,2.08
