ID,WC,WPS,BigWords
SPC01,463,17.81,26.57
GRE13,549,13.73,24.23
BRE13,627,14.93,21.05
UPL02,564,14.46,23.05
UPS01,502,19.31,27.29
BOD02,494,12.05,23.08
BFC10,448,18.67,29.69
UCA12,595,10.82,34.45
UCA07,426,8.35,1.64
LOR02,469,18.76,27.29
ALS08,602,13.68,27.41
BRE04,524,19.41,24.24
SPC09,384,13.24,26.82
OCM11,444,10.09,21.62
LRE07,600,15.79,17.67
OCM02,462,14,27.27
LOR05,509,25.45,24.95
ALS07,582,30.63,18.73
UPL01,415,20.75,27.47
SPC06,517,15.21,24.37
UPS10,572,19.07,15.73
UPS03,473,16.89,28.75
UCA08,464,77.33,11.21
LRE06,392,14.52,26.79
BOD05,551,13.77,25.77
BOD10,462,21,28.14
PES02,526,21.04,24.52
LYO11,525,13.13,21.52
BFC01,611,13.58,16.37
OCM20,479,18.42,26.93
CFE01,585,18.87,16.24
UCA15,355,59.17,3.38
UCA14,689,6.26,2.47
UCA01,619,619,0
nOR01,454,16.81,22.25
LOR10,532,19.7,21.43
CFE08,493,14.94,18.46
OCM01,595,13.84,17.98
LYO03,654,21.8,24.77
LRE03,351,19.5,18.52
PES01,447,13.97,17.9
LRE02,549,17.71,23.86
LOR07,487,16.23,24.23
GRE08,575,15.97,25.74
UPS13,554,20.52,19.31
CFE03,535,13.72,21.12
HES05,463,14.94,23.97
PES03,491,22.32,28.31
SPC12,574,19.13,25.44
SPC07,550,14.86,21.27
ALS06,697,18.84,20.09
LDV01,547,16.09,21.02
BOD11,495,17.68,18.38
BOD04,519,20.76,21.19
CFE09,558,16.41,23.66
GRE09,562,19.38,24.91
UCA09,265,17.67,33.96
BRE01,567,16.68,19.75
UCA06,776,40.84,0.26
UCA13,134,7.88,31.34
UPS02,462,17.11,24.03
LDV06,505,10.31,17.23
GRE11,585,12.72,26.15
CFE11,520,17.33,24.04
SPC08,477,11.93,26.83
ALS09,502,14.34,24.3
GRE10,594,15.63,21.21
ALS01,623,15.57,22.79
HES06,388,16.87,26.8
CFE05,527,17,20.49
PES05,436,13.21,25.23
BOD03,450,15.52,18.44
BOD16,540,10.59,27.04
nOR12,627,17.42,20.73
GRE15,494,15.44,22.67
nOR11,635,20.48,20.31
LDV10,547,17.65,25.23
